 TIME, RATES AND OIL PRESSURES
   TIME   PL      P( 1)   P( 2)   P( 3)   P( 4)   P( 5)   P( 6)   P( 7)   P( 8)   P( 9)   P(10)   PR      
      X=    5.00   15.00   25.00   35.00   45.00   55.00   65.00   75.00   85.00   95.00
    0.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00
    1.00  208.26  207.27  206.12  205.11  204.21  203.42  202.69  202.03  201.42  200.84  200.28  200.00
    2.00  211.08  210.08  208.81  207.61  206.47  205.38  204.34  203.33  202.36  201.41  200.47  200.00
    3.00  212.41  211.40  210.07  208.81  207.57  206.35  205.16  203.99  202.84  201.70  200.57  200.00
    4.00  213.06  212.04  210.68  209.38  208.10  206.83  205.57  204.32  203.08  201.84  200.61  200.00
    5.00  213.39  212.35  210.98  209.66  208.36  207.06  205.76  204.48  203.19  201.91  200.64  200.00
    6.00  213.55  212.51  211.12  209.80  208.48  207.17  205.86  204.55  203.25  201.95  200.65  200.00
    7.00  213.65  212.60  211.19  209.87  208.54  207.22  205.90  204.59  203.27  201.96  200.65  200.00
    8.00  213.71  212.64  211.23  209.90  208.57  207.25  205.93  204.61  203.29  201.97  200.66  200.00
    9.00  213.75  212.67  211.24  209.91  208.58  207.26  205.94  204.61  203.29  201.97  200.66  200.00
   10.00  213.78  212.70  211.25  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   11.00  213.81  212.71  211.25  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   12.00  213.84  212.73  211.25  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   13.00  213.87  212.75  211.25  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   14.00  213.91  212.77  211.26  209.93  208.60  207.27  205.95  204.62  203.30  201.98  200.66  200.00
   15.00  213.94  212.79  211.26  209.93  208.60  207.27  205.95  204.62  203.30  201.98  200.66  200.00
   16.00  213.97  212.81  211.26  209.93  208.60  207.27  205.95  204.62  203.30  201.98  200.66  200.00
   17.00  214.02  212.84  211.25  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   18.00  214.08  212.88  211.25  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   19.00  214.14  212.91  211.25  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   20.00  214.20  212.94  211.25  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   21.00  214.26  212.98  211.25  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   22.00  214.34  213.03  211.25  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   23.00  214.43  213.08  211.25  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   24.00  214.53  213.14  211.25  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   25.00  214.64  213.20  211.25  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   26.00  214.75  213.27  211.25  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   27.00  214.87  213.34  211.25  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   28.00  214.99  213.42  211.25  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   29.00  215.13  213.50  211.25  209.92  208.59  207.26  205.94  204.62  203.30  201.98  200.66  200.00
   30.00  215.28  213.59  211.25  209.92  208.59  207.26  205.94  204.62  203.30  201.98  200.66  200.00
   31.00  215.43  213.68  211.25  209.92  208.59  207.26  205.94  204.62  203.30  201.98  200.66  200.00
   32.00  215.56  213.76  211.25  209.92  208.59  207.26  205.94  204.62  203.30  201.98  200.66  200.00
   33.00  215.57  213.79  211.26  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   34.00  215.59  213.82  211.26  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   35.00  215.60  213.84  211.27  209.93  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   36.00  215.61  213.86  211.27  209.93  208.60  207.27  205.95  204.62  203.30  201.98  200.66  200.00
   37.00  215.63  213.88  211.27  209.93  208.60  207.27  205.95  204.62  203.30  201.98  200.66  200.00
   38.00  215.65  213.91  211.27  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   39.00  215.71  213.96  211.28  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   40.00  215.78  214.01  211.28  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   41.00  215.84  214.07  211.28  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   42.00  215.90  214.12  211.29  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   43.00  215.96  214.17  211.29  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   44.00  216.02  214.23  211.30  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   45.00  216.08  214.28  211.30  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   46.00  216.12  214.32  211.31  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   47.00  216.15  214.35  211.32  209.92  208.59  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   48.00  216.17  214.38  211.32  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   49.00  216.20  214.40  211.33  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   50.00  216.22  214.43  211.34  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   51.00  216.25  214.45  211.35  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   52.00  216.27  214.48  211.36  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   53.00  216.29  214.50  211.36  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   54.00  216.32  214.53  211.37  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   55.00  216.34  214.55  211.38  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   56.00  216.37  214.58  211.39  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   57.00  216.39  214.60  211.41  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   58.00  216.42  214.63  211.42  209.92  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   59.00  216.37  214.61  211.44  209.93  208.60  207.27  205.95  204.62  203.30  201.98  200.66  200.00
   60.00  216.33  214.60  211.45  209.93  208.60  207.27  205.95  204.62  203.30  201.98  200.66  200.00
   61.00  216.29  214.58  211.47  209.93  208.60  207.27  205.95  204.62  203.30  201.98  200.66  200.00
   62.00  216.26  214.57  211.48  209.93  208.60  207.27  205.95  204.62  203.30  201.98  200.66  200.00
   63.00  216.23  214.56  211.50  209.93  208.60  207.27  205.95  204.62  203.30  201.98  200.66  200.00
   64.00  216.21  214.56  211.52  209.93  208.60  207.27  205.95  204.62  203.30  201.98  200.66  200.00
   65.00  216.19  214.56  211.54  209.93  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
   66.00  216.18  214.56  211.57  209.93  208.60  207.27  205.94  204.62  203.30  201.98  200.66  200.00
