 TIME AND WATER SATURATIONS
   TIME   SW( 1)  SW( 2)  SW( 3)  SW( 4)  SW( 5)  SW( 6)  SW( 7)  SW( 8)  SW( 9)  SW(10)  
      X=    5.00   15.00   25.00   35.00   45.00   55.00   65.00   75.00   85.00   95.00
    0.00  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000  0.2000
    1.00  0.2099  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000  0.2000  0.2000
    2.00  0.2198  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000  0.2000
    3.00  0.2298  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
    4.00  0.2397  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
    5.00  0.2497  0.1999  0.1998  0.1999  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
    6.00  0.2597  0.1999  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
    7.00  0.2696  0.1999  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
    8.00  0.2796  0.2000  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
    9.00  0.2895  0.2000  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   10.00  0.2995  0.2000  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   11.00  0.3094  0.2001  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   12.00  0.3193  0.2002  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   13.00  0.3292  0.2003  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   14.00  0.3391  0.2004  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   15.00  0.3490  0.2005  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   16.00  0.3589  0.2006  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   17.00  0.3687  0.2008  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   18.00  0.3785  0.2009  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   19.00  0.3883  0.2011  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
   20.00  0.3981  0.2014  0.1998  0.1998  0.1999  0.1999  0.1999  0.1999  0.2000  0.2000
