 TIME, RATES AND OIL PRESSURES
   TIME   PL      P( 1)   P( 2)   P( 3)   P( 4)   P( 5)   PR      
      X=   10.00   30.00   50.00   70.00   90.00
    0.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00
    1.00  208.65  206.67  204.65  203.05  201.72  200.56  200.00
    2.00  211.42  209.43  207.02  204.85  202.84  200.93  200.00
    3.00  212.74  210.74  208.18  205.75  203.41  201.13  200.00
    4.00  213.39  211.37  208.74  206.19  203.69  201.23  200.00
    5.00  213.71  211.69  209.01  206.41  203.83  201.27  200.00
    6.00  213.88  211.85  209.14  206.51  203.90  201.30  200.00
    7.00  213.98  211.93  209.20  206.56  203.93  201.31  200.00
    8.00  214.03  211.98  209.23  206.59  203.95  201.31  200.00
    9.00  214.07  212.01  209.25  206.60  203.95  201.32  200.00
   10.00  214.10  212.03  209.26  206.60  203.96  201.32  200.00
   11.00  214.13  212.04  209.26  206.61  203.96  201.32  200.00
   12.00  214.15  212.06  209.26  206.61  203.96  201.32  200.00
   13.00  214.18  212.07  209.26  206.61  203.96  201.32  200.00
   14.00  214.20  212.09  209.26  206.61  203.96  201.32  200.00
   15.00  214.22  212.10  209.26  206.61  203.96  201.32  200.00
   16.00  214.25  212.11  209.26  206.61  203.96  201.32  200.00
   17.00  214.27  212.13  209.26  206.61  203.96  201.32  200.00
   18.00  214.29  212.14  209.26  206.61  203.96  201.32  200.00
   19.00  214.32  212.16  209.26  206.61  203.96  201.32  200.00
   20.00  214.34  212.17  209.26  206.61  203.96  201.32  200.00
   21.00  214.37  212.18  209.26  206.61  203.96  201.32  200.00
   22.00  214.40  212.20  209.26  206.61  203.96  201.32  200.00
   23.00  214.43  212.22  209.26  206.61  203.96  201.32  200.00
   24.00  214.46  212.24  209.26  206.61  203.96  201.32  200.00
   25.00  214.49  212.26  209.26  206.61  203.96  201.32  200.00
   26.00  214.53  212.28  209.26  206.61  203.96  201.32  200.00
   27.00  214.56  212.30  209.26  206.61  203.96  201.32  200.00
   28.00  214.59  212.32  209.26  206.61  203.96  201.32  200.00
   29.00  214.63  212.34  209.26  206.61  203.96  201.32  200.00
   30.00  214.66  212.36  209.26  206.61  203.96  201.32  200.00
   31.00  214.70  212.38  209.26  206.61  203.96  201.32  200.00
   32.00  214.74  212.41  209.26  206.61  203.96  201.32  200.00
   33.00  214.80  212.44  209.26  206.61  203.96  201.32  200.00
   34.00  214.85  212.47  209.26  206.61  203.96  201.32  200.00
   35.00  214.91  212.50  209.26  206.61  203.96  201.32  200.00
   36.00  214.96  212.53  209.26  206.61  203.96  201.32  200.00
   37.00  215.02  212.57  209.26  206.61  203.96  201.32  200.00
   38.00  215.08  212.60  209.26  206.61  203.96  201.32  200.00
   39.00  215.14  212.64  209.26  206.61  203.96  201.32  200.00
   40.00  215.20  212.67  209.26  206.61  203.96  201.32  200.00
   41.00  215.26  212.71  209.26  206.61  203.96  201.32  200.00
   42.00  215.34  212.75  209.26  206.60  203.96  201.32  200.00
   43.00  215.43  212.81  209.26  206.60  203.96  201.32  200.00
   44.00  215.52  212.86  209.26  206.60  203.96  201.32  200.00
   45.00  215.61  212.91  209.26  206.60  203.96  201.32  200.00
   46.00  215.71  212.97  209.26  206.60  203.96  201.32  200.00
   47.00  215.81  213.03  209.26  206.60  203.96  201.32  200.00
   48.00  215.91  213.09  209.26  206.60  203.96  201.32  200.00
   49.00  216.02  213.15  209.26  206.60  203.96  201.32  200.00
   50.00  216.13  213.22  209.26  206.60  203.96  201.32  200.00
   51.00  216.24  213.29  209.26  206.60  203.96  201.32  200.00
   52.00  216.36  213.35  209.26  206.60  203.96  201.32  200.00
   53.00  216.48  213.43  209.26  206.60  203.95  201.32  200.00
   54.00  216.60  213.50  209.26  206.60  203.95  201.32  200.00
   55.00  216.73  213.58  209.26  206.60  203.95  201.32  200.00
   56.00  216.87  213.66  209.26  206.60  203.95  201.32  200.00
   57.00  217.01  213.75  209.26  206.60  203.95  201.32  200.00
   58.00  217.15  213.83  209.26  206.60  203.95  201.32  200.00
   59.00  217.30  213.92  209.26  206.60  203.95  201.32  200.00
   60.00  217.45  214.01  209.26  206.60  203.95  201.32  200.00
   61.00  217.61  214.11  209.26  206.60  203.95  201.32  200.00
   62.00  217.77  214.21  209.26  206.59  203.95  201.32  200.00
   63.00  217.87  214.28  209.27  206.60  203.95  201.32  200.00
   64.00  217.89  214.31  209.27  206.60  203.96  201.32  200.00
   65.00  217.91  214.34  209.28  206.61  203.96  201.32  200.00
   66.00  217.92  214.36  209.28  206.61  203.96  201.32  200.00
   67.00  217.94  214.39  209.29  206.61  203.96  201.32  200.00
   68.00  217.95  214.41  209.29  206.61  203.96  201.32  200.00
   69.00  217.96  214.43  209.29  206.61  203.96  201.32  200.00
   70.00  217.97  214.45  209.29  206.61  203.96  201.32  200.00
   71.00  217.98  214.47  209.29  206.61  203.96  201.32  200.00
   72.00  218.00  214.49  209.30  206.61  203.96  201.32  200.00
   73.00  218.01  214.51  209.30  206.61  203.96  201.32  200.00
   74.00  218.02  214.53  209.30  206.61  203.96  201.32  200.00
   75.00  218.05  214.57  209.30  206.61  203.96  201.32  200.00
   76.00  218.11  214.61  209.30  206.61  203.96  201.32  200.00
   77.00  218.17  214.67  209.30  206.60  203.96  201.32  200.00
   78.00  218.23  214.72  209.31  206.60  203.96  201.32  200.00
   79.00  218.29  214.77  209.31  206.60  203.96  201.32  200.00
   80.00  218.36  214.83  209.31  206.60  203.96  201.32  200.00
   81.00  218.42  214.88  209.32  206.60  203.96  201.32  200.00
   82.00  218.48  214.93  209.32  206.60  203.96  201.32  200.00
   83.00  218.54  214.99  209.33  206.60  203.96  201.32  200.00
   84.00  218.60  215.04  209.33  206.60  203.96  201.32  200.00
   85.00  218.66  215.09  209.34  206.60  203.96  201.32  200.00
   86.00  218.72  215.14  209.34  206.60  203.96  201.32  200.00
   87.00  218.78  215.20  209.35  206.60  203.96  201.32  200.00
   88.00  218.84  215.25  209.35  206.60  203.96  201.32  200.00
   89.00  218.90  215.30  209.36  206.60  203.96  201.32  200.00
   90.00  218.95  215.35  209.37  206.60  203.96  201.32  200.00
   91.00  219.00  215.39  209.37  206.60  203.96  201.32  200.00
   92.00  219.03  215.42  209.38  206.61  203.96  201.32  200.00
   93.00  219.05  215.45  209.39  206.61  203.96  201.32  200.00
   94.00  219.08  215.48  209.40  206.61  203.96  201.32  200.00
   95.00  219.10  215.50  209.41  206.61  203.96  201.32  200.00
   96.00  219.13  215.53  209.41  206.61  203.96  201.32  200.00
   97.00  219.15  215.56  209.42  206.61  203.96  201.32  200.00
   98.00  219.18  215.58  209.43  206.61  203.96  201.32  200.00
   99.00  219.20  215.61  209.44  206.61  203.96  201.32  200.00
  100.00  219.22  215.63  209.44  206.61  203.96  201.32  200.00
  101.00  219.25  215.66  209.45  206.61  203.96  201.32  200.00
  102.00  219.27  215.68  209.46  206.61  203.96  201.32  200.00
  103.00  219.29  215.71  209.47  206.61  203.96  201.32  200.00
  104.00  219.32  215.73  209.48  206.61  203.96  201.32  200.00
  105.00  219.34  215.76  209.48  206.61  203.96  201.32  200.00
  106.00  219.37  215.78  209.49  206.61  203.96  201.32  200.00
  107.00  219.39  215.80  209.50  206.61  203.96  201.32  200.00
  108.00  219.41  215.83  209.51  206.61  203.96  201.32  200.00
  109.00  219.44  215.85  209.52  206.61  203.96  201.32  200.00
  110.00  219.46  215.88  209.53  206.61  203.96  201.32  200.00
  111.00  219.49  215.90  209.54  206.61  203.96  201.32  200.00
  112.00  219.51  215.93  209.55  206.61  203.96  201.32  200.00
  113.00  219.54  215.96  209.57  206.61  203.96  201.32  200.00
  114.00  219.56  215.99  209.58  206.61  203.96  201.32  200.00
  115.00  219.59  216.01  209.59  206.61  203.96  201.32  200.00
  116.00  219.59  216.02  209.61  206.61  203.96  201.32  200.00
  117.00  219.55  216.01  209.63  206.61  203.96  201.32  200.00
  118.00  219.51  216.00  209.64  206.61  203.96  201.32  200.00
  119.00  219.47  215.98  209.66  206.61  203.96  201.32  200.00
  120.00  219.43  215.96  209.67  206.61  203.96  201.32  200.00
  121.00  219.39  215.95  209.69  206.61  203.96  201.32  200.00
  122.00  219.35  215.93  209.70  206.61  203.96  201.32  200.00
  123.00  219.32  215.92  209.72  206.61  203.96  201.32  200.00
  124.00  219.28  215.91  209.73  206.61  203.96  201.32  200.00
  125.00  219.26  215.90  209.75  206.61  203.96  201.32  200.00
  126.00  219.23  215.90  209.77  206.61  203.96  201.32  200.00
  127.00  219.21  215.90  209.80  206.61  203.96  201.32  200.00
  128.00  219.19  215.90  209.82  206.61  203.96  201.32  200.00
  129.00  219.18  215.90  209.85  206.61  203.96  201.32  200.00
  130.00  219.16  215.90  209.87  206.61  203.96  201.32  200.00
  131.00  219.15  215.90  209.90  206.61  203.96  201.32  200.00
  132.00  219.14  215.91  209.92  206.61  203.96  201.32  200.00
  133.00  219.12  215.91  209.95  206.61  203.96  201.32  200.00
  134.00  219.12  215.92  209.98  206.61  203.96  201.32  200.00
  135.00  219.11  215.93  210.01  206.61  203.96  201.32  200.00
  136.00  219.10  215.93  210.03  206.61  203.96  201.32  200.00
  137.00  219.10  215.94  210.06  206.61  203.96  201.32  200.00
  138.00  219.10  215.96  210.10  206.61  203.96  201.32  200.00
  139.00  219.11  215.98  210.14  206.61  203.96  201.32  200.00
  140.00  219.12  216.00  210.18  206.61  203.96  201.32  200.00
  141.00  219.13  216.03  210.23  206.61  203.95  201.32  200.00
  142.00  219.14  216.06  210.27  206.61  203.95  201.32  200.00
  143.00  219.16  216.09  210.32  206.61  203.95  201.32  200.00
  144.00  219.18  216.12  210.36  206.61  203.95  201.32  200.00
  145.00  219.20  216.15  210.41  206.61  203.95  201.32  200.00
  146.00  219.22  216.18  210.46  206.61  203.95  201.32  200.00
  147.00  219.25  216.22  210.51  206.61  203.95  201.32  200.00
  148.00  219.28  216.26  210.57  206.61  203.95  201.32  200.00
  149.00  219.30  216.30  210.62  206.61  203.95  201.32  200.00
  150.00  219.34  216.34  210.68  206.61  203.95  201.32  200.00
  151.00  219.37  216.38  210.74  206.61  203.95  201.32  200.00
  152.00  219.41  216.43  210.80  206.60  203.95  201.32  200.00
  153.00  219.45  216.48  210.86  206.60  203.95  201.31  200.00
  154.00  219.49  216.53  210.93  206.60  203.95  201.31  200.00
  155.00  219.53  216.59  210.99  206.60  203.95  201.31  200.00
  156.00  219.58  216.64  211.06  206.60  203.95  201.31  200.00
  157.00  219.63  216.70  211.14  206.60  203.95  201.31  200.00
  158.00  219.68  216.76  211.21  206.60  203.95  201.31  200.00
  159.00  219.74  216.83  211.28  206.60  203.95  201.31  200.00
  160.00  219.80  216.89  211.36  206.60  203.95  201.31  200.00
  161.00  219.86  216.96  211.44  206.61  203.95  201.31  200.00
