 TIME AND WATER SATURATIONS
   TIME   SW( 1)  SW( 2)  SW( 3)  SW( 4)  SW( 5)  
      X=   10.00   30.00   50.00   70.00   90.00
    0.00  0.2000  0.2000  0.2000  0.2000  0.2000
    1.00  0.2049  0.1999  0.1999  0.2000  0.2000
    2.00  0.2098  0.1999  0.1999  0.1999  0.2000
    3.00  0.2148  0.1999  0.1999  0.1999  0.2000
    4.00  0.2198  0.1999  0.1999  0.1999  0.2000
    5.00  0.2248  0.1999  0.1999  0.1999  0.2000
    6.00  0.2298  0.1999  0.1999  0.1999  0.2000
    7.00  0.2347  0.1999  0.1999  0.1999  0.2000
    8.00  0.2397  0.1999  0.1999  0.1999  0.2000
    9.00  0.2447  0.1999  0.1999  0.1999  0.2000
   10.00  0.2497  0.1999  0.1999  0.1999  0.2000
   11.00  0.2547  0.1999  0.1999  0.1999  0.2000
   12.00  0.2597  0.1999  0.1999  0.1999  0.2000
   13.00  0.2646  0.1999  0.1999  0.1999  0.2000
   14.00  0.2696  0.2000  0.1999  0.1999  0.2000
   15.00  0.2746  0.2000  0.1999  0.1999  0.2000
   16.00  0.2796  0.2000  0.1999  0.1999  0.2000
   17.00  0.2846  0.2000  0.1999  0.1999  0.2000
   18.00  0.2895  0.2000  0.1999  0.1999  0.2000
   19.00  0.2945  0.2001  0.1999  0.1999  0.2000
   20.00  0.2995  0.2001  0.1999  0.1999  0.2000
   21.00  0.3044  0.2001  0.1999  0.1999  0.2000
   22.00  0.3094  0.2002  0.1999  0.1999  0.2000
   23.00  0.3144  0.2002  0.1999  0.1999  0.2000
   24.00  0.3193  0.2002  0.1999  0.1999  0.2000
   25.00  0.3243  0.2003  0.1999  0.1999  0.2000
   26.00  0.3292  0.2003  0.1999  0.1999  0.2000
   27.00  0.3342  0.2004  0.1999  0.1999  0.2000
   28.00  0.3391  0.2004  0.1999  0.1999  0.2000
   29.00  0.3441  0.2005  0.1999  0.1999  0.2000
   30.00  0.3490  0.2005  0.1999  0.1999  0.2000
   31.00  0.3539  0.2006  0.1999  0.1999  0.2000
   32.00  0.3588  0.2007  0.1999  0.1999  0.2000
   33.00  0.3638  0.2008  0.1999  0.1999  0.2000
   34.00  0.3687  0.2008  0.1999  0.1999  0.2000
   35.00  0.3736  0.2009  0.1999  0.1999  0.2000
   36.00  0.3785  0.2010  0.1999  0.1999  0.2000
   37.00  0.3834  0.2011  0.1999  0.1999  0.2000
   38.00  0.3883  0.2012  0.1999  0.1999  0.2000
   39.00  0.3931  0.2013  0.1999  0.1999  0.2000
   40.00  0.3980  0.2015  0.1999  0.1999  0.2000
