 PRODUCTION/INJECTION RESULTS
   TIME   PL      QWI     PR       QOP      QWP     WC
    0.00  200.00  -25.00  200.00    0.00    0.00    0.00
    1.00  208.08  -25.00  200.00    7.03    0.00    0.00
    2.00  210.91  -25.00  200.00   11.83    0.00    0.00
    3.00  212.24  -25.00  200.00   14.32    0.00    0.00
    4.00  212.90  -25.00  200.00   15.54    0.00    0.00
    5.00  213.22  -25.00  200.00   16.14    0.00    0.00
    6.00  213.39  -25.00  200.00   16.42    0.00    0.00
    7.00  213.50  -25.00  200.00   16.56    0.00    0.00
    8.00  213.56  -25.00  200.00   16.62    0.00    0.00
    9.00  213.62  -25.00  200.00   16.66    0.00    0.00
   10.00  213.69  -25.00  200.00   16.67    0.00    0.00
   11.00  213.75  -25.00  200.00   16.68    0.00    0.00
   12.00  213.84  -25.00  200.00   16.68    0.00    0.00
   13.00  213.94  -25.00  200.00   16.68    0.00    0.00
   14.00  214.06  -25.00  200.00   16.68    0.00    0.00
   15.00  214.19  -25.00  200.00   16.68    0.00    0.00
   16.00  214.34  -25.00  200.00   16.68    0.00    0.00
   17.00  214.41  -25.00  200.00   16.68    0.00    0.00
   18.00  214.42  -25.00  200.00   16.68    0.00    0.00
   19.00  214.44  -25.00  200.00   16.69    0.00    0.00
   20.00  214.49  -25.00  200.00   16.69    0.00    0.00
   21.00  214.55  -25.00  200.00   16.68    0.00    0.00
   22.00  214.61  -25.00  200.00   16.68    0.00    0.00
   23.00  214.67  -25.00  200.00   16.68    0.00    0.00
   24.00  214.70  -25.00  200.00   16.68    0.00    0.00
   25.00  214.73  -25.00  200.00   16.68    0.00    0.00
   26.00  214.75  -25.00  200.00   16.69    0.00    0.00
   27.00  214.77  -25.00  200.00   16.69    0.00    0.00
   28.00  214.80  -25.00  200.00   16.69    0.00    0.00
   29.00  214.82  -25.00  200.00   16.68    0.00    0.00
   30.00  214.79  -25.00  200.00   16.69    0.00    0.00
   31.00  214.75  -25.00  200.00   16.69    0.00    0.00
   32.00  214.72  -25.00  200.00   16.69    0.00    0.00
   33.00  214.70  -25.00  200.00   16.69    0.00    0.00
   34.00  214.69  -25.00  200.00   16.69    0.00    0.00
   35.00  214.68  -25.00  200.00   16.69    0.00    0.00
   36.00  214.69  -25.00  200.00   16.68    0.00    0.00
   37.00  214.71  -25.00  200.00   16.68    0.00    0.00
   38.00  214.74  -25.00  200.00   16.68    0.00    0.00
   39.00  214.77  -25.00  200.00   16.68    0.00    0.00
   40.00  214.82  -25.00  200.00   16.68    0.00    0.00
   41.00  214.88  -25.00  200.00   16.67    0.00    0.00
   42.00  214.92  -25.00  200.00   16.68    0.00    0.00
   43.00  214.94  -25.00  200.00   16.68    0.00    0.00
   44.00  214.96  -25.00  200.00   16.68    0.00    0.00
   45.00  214.97  -25.00  200.00   16.68    0.00    0.00
   46.00  215.01  -25.00  200.00   16.68    0.00    0.00
   47.00  215.06  -25.00  200.00   16.68    0.00    0.00
   48.00  215.10  -25.00  200.00   16.68    0.00    0.00
   49.00  215.14  -25.00  200.00   16.68    0.00    0.00
   50.00  215.17  -25.00  200.00   16.68    0.00    0.00
   51.00  215.19  -25.00  200.00   16.68    0.00    0.00
   52.00  215.21  -25.00  200.00   16.68    0.00    0.00
   53.00  215.23  -25.00  200.00   16.68    0.00    0.00
   54.00  215.25  -25.00  200.00   16.68    0.00    0.00
   55.00  215.27  -25.00  200.00   16.68    0.00    0.00
   56.00  215.29  -25.00  200.00   16.68    0.00    0.00
   57.00  215.31  -25.00  200.00   16.68    0.00    0.00
   58.00  215.32  -25.00  200.00   16.68    0.00    0.00
   59.00  215.31  -25.00  200.00   16.68    0.00    0.00
   60.00  215.31  -25.00  200.00   16.68    0.00    0.00
   61.00  215.32  -25.00  200.00   16.68    0.00    0.00
   62.00  215.33  -25.00  200.00   16.68    0.00    0.00
   63.00  215.35  -25.00  200.00   16.68    0.00    0.00
   64.00  215.38  -25.00  200.00   16.68    0.00    0.00
   65.00  215.42  -25.00  200.00   16.68    0.00    0.00
   66.00  215.46  -25.00  200.00   16.67    0.00    0.00
   67.00  215.52  -25.00  200.00   16.67    0.00    0.00
   68.00  215.58  -25.00  200.00   16.67    0.00    0.00
   69.00  215.60  -25.00  200.00   16.67    0.00    0.00
   70.00  215.61  -25.00  200.00   16.68    0.00    0.00
   71.00  215.62  -25.00  200.00   16.68    0.00    0.00
   72.00  215.63  -25.00  200.00   16.68    0.00    0.00
   73.00  215.66  -25.00  200.00   16.68    0.00    0.00
   74.00  215.70  -25.00  200.00   16.68    0.00    0.00
   75.00  215.74  -25.00  200.00   16.68    0.00    0.00
   76.00  215.78  -25.00  200.00   16.67    0.00    0.00
   77.00  215.81  -25.00  200.00   16.68    0.00    0.00
   78.00  215.84  -25.00  200.00   16.68    0.00    0.00
   79.00  215.86  -25.00  200.00   16.68    0.00    0.00
   80.00  215.87  -25.00  200.00   16.68    0.00    0.00
   81.00  215.89  -25.00  200.00   16.68    0.00    0.00
   82.00  215.92  -25.00  200.00   16.68    0.00    0.00
   83.00  215.94  -25.00  200.00   16.68    0.00    0.00
   84.00  215.96  -25.00  200.00   16.68    0.00    0.00
   85.00  215.98  -25.00  200.00   16.68    0.00    0.00
   86.00  215.99  -25.00  200.00   16.68    0.00    0.00
   87.00  215.99  -25.00  200.00   16.68    0.00    0.00
   88.00  215.99  -25.00  200.00   16.68    0.00    0.00
   89.00  216.01  -25.00  200.00   16.68    0.00    0.00
   90.00  216.03  -25.00  200.00   16.68    0.00    0.00
   91.00  216.06  -25.00  200.00   16.67    0.00    0.00
   92.00  216.09  -25.00  200.00   16.67    0.00    0.00
   93.00  216.14  -25.00  200.00   16.67    0.00    0.00
   94.00  216.19  -25.00  200.00   16.67    0.00    0.00
   95.00  216.25  -25.00  200.00   16.66    0.00    0.00
   96.00  216.28  -25.00  200.00   16.67    0.00    0.00
   97.00  216.29  -25.00  200.00   16.67    0.00    0.00
   98.00  216.30  -25.00  200.00   16.68    0.00    0.00
   99.00  216.31  -25.00  200.00   16.68    0.00    0.00
  100.00  216.34  -25.00  200.00   16.68    0.00    0.00
  101.00  216.37  -25.00  200.00   16.67    0.00    0.00
  102.00  216.41  -25.00  200.00   16.67    0.00    0.00
  103.00  216.44  -25.00  200.00   16.67    0.00    0.00
  104.00  216.47  -25.00  200.00   16.67    0.00    0.00
  105.00  216.49  -25.00  200.00   16.67    0.00    0.00
  106.00  216.51  -25.00  200.00   16.68    0.00    0.00
  107.00  216.53  -25.00  200.00   16.68    0.00    0.00
  108.00  216.55  -25.00  200.00   16.68    0.00    0.00
  109.00  216.57  -25.00  200.00   16.68    0.00    0.00
  110.00  216.59  -25.00  200.00   16.68    0.00    0.00
  111.00  216.61  -25.00  200.00   16.68    0.00    0.00
  112.00  216.63  -25.00  200.00   16.68    0.00    0.00
  113.00  216.65  -25.00  200.00   16.67    0.00    0.00
  114.00  216.66  -25.00  200.00   16.68    0.00    0.00
  115.00  216.67  -25.00  200.00   16.68    0.00    0.00
  116.00  216.67  -25.00  200.00   16.68    0.00    0.00
  117.00  216.69  -25.00  200.00   16.68    0.00    0.00
  118.00  216.72  -25.00  200.00   16.67    0.00    0.00
  119.00  216.75  -25.00  200.00   16.67    0.00    0.00
  120.00  216.78  -25.00  200.00   16.67    0.00    0.00
  121.00  216.83  -25.00  200.00   16.66    0.00    0.00
  122.00  216.88  -25.00  200.00   16.66    0.00    0.00
  123.00  216.94  -25.00  200.00   16.66    0.00    0.00
  124.00  216.96  -25.00  200.00   16.67    0.00    0.00
  125.00  216.97  -25.00  200.00   16.67    0.00    0.00
  126.00  216.98  -25.00  200.00   16.68    0.00    0.00
  127.00  216.99  -25.00  200.00   16.68    0.00    0.00
  128.00  217.02  -25.00  200.00   16.67    0.00    0.00
  129.00  217.06  -25.00  200.00   16.67    0.00    0.00
  130.00  217.09  -25.00  200.00   16.67    0.00    0.00
  131.00  217.12  -25.00  200.00   16.67    0.00    0.00
  132.00  217.15  -25.00  200.00   16.67    0.00    0.00
  133.00  217.17  -25.00  200.00   16.67    0.00    0.00
  134.00  217.19  -25.00  200.00   16.67    0.00    0.00
  135.00  217.20  -25.00  200.00   16.68    0.00    0.00
  136.00  217.22  -25.00  200.00   16.68    0.00    0.00
  137.00  217.23  -25.00  200.00   16.68    0.00    0.00
  138.00  217.25  -25.00  200.00   16.67    0.00    0.00
  139.00  217.27  -25.00  200.00   16.67    0.00    0.00
  140.00  217.29  -25.00  200.00   16.67    0.00    0.00
  141.00  217.32  -25.00  200.00   16.67    0.00    0.00
  142.00  217.33  -25.00  200.00   16.67    0.00    0.00
  143.00  217.34  -25.00  200.00   16.68    0.00    0.00
  144.00  217.35  -25.00  200.00   16.68    0.00    0.00
  145.00  217.37  -25.00  200.00   16.67    0.00    0.00
  146.00  217.39  -25.00  200.00   16.67    0.00    0.00
  147.00  217.43  -25.00  200.00   16.67    0.00    0.00
  148.00  217.47  -25.00  200.00   16.66    0.00    0.00
  149.00  217.51  -25.00  200.00   16.66    0.00    0.00
  150.00  217.57  -25.00  200.00   16.65    0.00    0.00
  151.00  217.61  -25.00  200.00   16.65    0.00    0.00
  152.00  217.63  -25.00  200.00   16.67    0.00    0.00
  153.00  217.64  -25.00  200.00   16.67    0.00    0.00
  154.00  217.65  -25.00  200.00   16.68    0.00    0.00
  155.00  217.67  -25.00  200.00   16.67    0.00    0.00
  156.00  217.70  -25.00  200.00   16.67    0.00    0.00
  157.00  217.73  -25.00  200.00   16.67    0.00    0.00
  158.00  217.76  -25.00  200.00   16.66    0.00    0.00
  159.00  217.80  -25.00  200.00   16.66    0.00    0.00
  160.00  217.83  -25.00  200.00   16.66    0.00    0.00
  161.00  217.84  -25.00  200.00   16.67    0.00    0.00
  162.00  217.86  -25.00  200.00   16.67    0.00    0.00
  163.00  217.87  -25.00  200.00   16.67    0.00    0.00
  164.00  217.89  -25.00  200.00   16.67    0.00    0.00
  165.00  217.90  -25.00  200.00   16.67    0.00    0.00
  166.00  217.92  -25.00  200.00   16.67    0.00    0.00
  167.00  217.94  -25.00  200.00   16.67    0.00    0.00
  168.00  217.96  -25.00  200.00   16.67    0.00    0.00
  169.00  217.98  -25.00  200.00   16.67    0.00    0.00
  170.00  218.00  -25.00  200.00   16.67    0.00    0.00
  171.00  218.01  -25.00  200.00   16.67    0.00    0.00
  172.00  218.02  -25.00  200.00   16.67    0.00    0.00
  173.00  218.04  -25.00  200.00   16.67    0.00    0.00
  174.00  218.06  -25.00  200.00   16.66    0.00    0.00
  175.00  218.10  -25.00  200.00   16.66    0.00    0.00
  176.00  218.14  -25.00  200.00   16.66    0.00    0.00
  177.00  218.18  -25.00  200.00   16.65    0.00    0.00
  178.00  218.24  -25.00  200.00   16.65    0.00    0.00
  179.00  218.28  -25.00  200.00   16.65    0.00    0.00
  180.00  218.30  -25.00  200.00   16.66    0.00    0.00
  181.00  218.31  -25.00  200.00   16.67    0.00    0.00
  182.00  218.32  -25.00  200.00   16.67    0.00    0.00
  183.00  218.34  -25.00  200.00   16.67    0.00    0.00
  184.00  218.37  -25.00  200.00   16.66    0.00    0.00
  185.00  218.40  -25.00  200.00   16.66    0.00    0.00
  186.00  218.43  -25.00  200.00   16.66    0.00    0.00
  187.00  218.46  -25.00  200.00   16.66    0.00    0.00
  188.00  218.49  -25.00  200.00   16.66    0.00    0.00
  189.00  218.51  -25.00  200.00   16.67    0.00    0.00
  190.00  218.53  -25.00  200.00   16.67    0.00    0.00
  191.00  218.54  -25.00  200.00   16.67    0.00    0.00
  192.00  218.56  -25.00  200.00   16.67    0.00    0.00
  193.00  218.57  -25.00  200.00   16.67    0.00    0.00
  194.00  218.59  -25.00  200.00   16.67    0.00    0.00
  195.00  218.61  -25.00  200.00   16.67    0.00    0.00
  196.00  218.62  -25.00  200.00   16.67    0.00    0.00
  197.00  218.65  -25.00  200.00   16.66    0.00    0.00
  198.00  218.66  -25.00  200.00   16.67    0.00    0.00
  199.00  218.67  -25.00  200.00   16.67    0.00    0.00
  200.00  218.68  -25.00  200.00   16.67    0.00    0.00
  201.00  218.70  -25.00  200.00   16.67    0.00    0.00
  202.00  218.73  -25.00  200.00   16.66    0.00    0.00
  203.00  218.76  -25.00  200.00   16.66    0.00    0.00
  204.00  218.80  -25.00  200.00   16.65    0.00    0.00
  205.00  218.85  -25.00  200.00   16.65    0.00    0.00
  206.00  218.90  -25.00  200.00   16.64    0.00    0.00
  207.00  218.94  -25.00  200.00   16.65    0.00    0.00
  208.00  218.96  -25.00  200.00   16.66    0.00    0.00
  209.00  218.98  -25.00  200.00   16.67    0.00    0.00
  210.00  218.99  -25.00  200.00   16.67    0.00    0.00
  211.00  219.01  -25.00  200.00   16.67    0.00    0.00
  212.00  219.03  -25.00  200.00   16.66    0.00    0.00
  213.00  219.06  -25.00  200.00   16.66    0.00    0.00
  214.00  219.10  -25.00  200.00   16.66    0.00    0.00
  215.00  219.13  -25.00  200.00   16.66    0.00    0.00
  216.00  219.16  -25.00  200.00   16.66    0.00    0.00
  217.00  219.18  -25.00  200.00   16.66    0.00    0.00
