 PRODUCTION/INJECTION RESULTS
   TIME   PL      QWI     PR       QOP      QWP     WC
    0.00  200.00  -25.00  200.00    0.00    0.00    0.00
    2.50  210.40  -25.00  200.00   11.18    0.00    0.00
    5.00  212.62  -25.00  200.00   15.14    0.00    0.00
    7.50  213.24  -25.00  200.00   16.26    0.00    0.00
   10.00  213.43  -25.00  200.00   16.57    0.00    0.00
   12.50  213.54  -25.00  200.00   16.66    0.00    0.00
   15.00  213.66  -25.00  200.00   16.68    0.00    0.00
   17.50  213.81  -25.00  200.00   16.69    0.00    0.00
   20.00  213.78  -25.00  200.00   16.69    0.00    0.00
   22.50  213.81  -25.00  200.00   16.69    0.00    0.00
   25.00  213.81  -25.00  200.00   16.69    0.00    0.00
   27.50  213.63  -25.00  200.00   16.69    0.00    0.00
   30.00  213.58  -25.00  200.00   16.69    0.00    0.00
   32.50  213.57  -25.00  200.00   16.69    0.00    0.00
   35.00  213.57  -25.00  200.00   16.69    0.00    0.00
   37.50  213.57  -25.00  200.00   16.69    0.00    0.00
   40.00  213.57  -25.00  200.00   16.69    0.00    0.00
   42.50  213.57  -25.00  200.00   16.69    0.00    0.00
   45.00  213.57  -25.00  200.00   16.69    0.00    0.00
   47.50  213.57  -25.00  200.00   16.69    0.00    0.00
   50.00  213.57  -25.00  200.00   16.69    0.00    0.00
   52.50  213.57  -25.00  200.00   16.69    0.00    0.00
   55.00  213.57  -25.00  200.00   16.69    0.00    0.00
   57.50  213.57  -25.00  200.00   16.69    0.00    0.00
   60.00  213.57  -25.00  200.00   16.69    0.00    0.00
   62.50  213.57  -25.00  200.00   16.69    0.00    0.00
   65.00  213.57  -25.00  200.00   16.69    0.00    0.00
   67.50  213.57  -25.00  200.00   16.69    0.00    0.00
   70.00  213.57  -25.00  200.00   16.69    0.00    0.00
   72.50  213.57  -25.00  200.00   16.69    0.00    0.00
   75.00  213.57  -25.00  200.00   16.69    0.00    0.00
   77.50  213.57  -25.00  200.00   16.69    0.00    0.00
   80.00  213.57  -25.00  200.00   16.69    0.00    0.00
   82.50  213.57  -25.00  200.00   16.69    0.00    0.00
   85.00  213.57  -25.00  200.00   16.69    0.00    0.00
   87.50  213.57  -25.00  200.00   16.69    0.00    0.00
   90.00  213.57  -25.00  200.00   16.69    0.00    0.00
   92.50  213.57  -25.00  200.00   16.69    0.00    0.00
   95.00  213.57  -25.00  200.00   16.69    0.00    0.00
   97.50  213.57  -25.00  200.00   16.69    0.00    0.00
  100.00  213.57  -25.00  200.00   16.69    0.00    0.00
  102.50  213.57  -25.00  200.00   16.69    0.00    0.00
