 PRODUCTION/INJECTION RESULTS
   TIME   PL      QWI     PR       QOP      QWP     WC
    0.00  200.00  -25.00  200.00    0.00    0.00    0.00
    2.50  209.40  -25.00  200.00   11.18   -0.00   -0.00
    5.00  211.89  -25.00  200.00   15.13   -0.00   -0.00
    7.50  212.78  -25.00  200.00   16.26   -0.00   -0.00
   10.00  213.13  -25.00  200.00   16.57   -0.00   -0.00
   12.50  213.38  -25.00  200.00   16.65   -0.00   -0.00
   15.00  213.67  -25.00  200.00   16.67   -0.00   -0.00
   17.50  214.03  -25.00  200.00   16.68   -0.00   -0.00
   20.00  214.08  -25.00  200.00   16.69   -0.00   -0.00
   22.50  214.13  -25.00  200.00   16.69   -0.00   -0.00
   25.00  214.23  -25.00  200.00   16.69   -0.00   -0.00
   27.50  214.33  -25.00  200.00   16.68   -0.00   -0.00
   30.00  214.44  -25.00  200.00   16.68   -0.00   -0.00
   32.50  214.52  -25.00  200.00   16.68   -0.00   -0.00
   35.00  214.48  -25.00  200.00   16.68   -0.00   -0.00
   37.50  214.49  -25.00  200.00   16.68   -0.00   -0.00
   40.00  214.57  -25.00  200.00   16.68   -0.00   -0.00
   42.50  214.68  -25.00  200.00   16.68   -0.00   -0.00
   45.00  214.66  -25.00  200.00   16.68   -0.00   -0.00
   47.50  214.67  -25.00  200.00   16.69   -0.00   -0.00
   50.00  214.73  -25.00  200.00   16.68   -0.00   -0.00
   52.50  214.82  -25.00  200.00   16.68   -0.00   -0.00
   55.00  214.90  -25.00  200.00   16.68   -0.00   -0.00
   57.50  214.98  -25.00  200.00   16.68   -0.00   -0.00
   60.00  215.06  -25.00  200.00   16.68   -0.00   -0.00
   62.50  215.12  -25.00  200.00   16.68   -0.00   -0.00
   65.00  215.19  -25.00  200.00   16.68   -0.00   -0.00
   67.50  215.29  -25.00  200.00   16.67   -0.00   -0.00
   70.00  215.37  -25.00  200.00   16.68   -0.00   -0.00
   72.50  215.34  -25.00  200.00   16.69   -0.00   -0.00
   75.00  215.36  -25.00  200.00   16.68   -0.00   -0.00
   77.50  215.41  -25.00  200.00   16.68   -0.00   -0.00
   80.00  215.49  -25.00  200.00   16.68   -0.00   -0.00
   82.50  215.57  -25.00  200.00   16.68   -0.00   -0.00
   85.00  215.65  -25.00  200.00   16.68   -0.00   -0.00
   87.50  215.73  -25.00  200.00   16.67   -0.00   -0.00
   90.00  215.82  -25.00  200.00   16.67   -0.00   -0.00
   92.50  215.89  -25.00  200.00   16.67   -0.00   -0.00
   95.00  216.00  -25.00  200.00   16.67   -0.00   -0.00
   97.50  216.06  -25.00  200.00   16.67   -0.00   -0.00
  100.00  216.03  -25.00  200.00   16.69   -0.00   -0.00
  102.50  216.06  -25.00  200.00   16.68   -0.00   -0.00
  105.00  216.11  -25.00  200.00   16.68   -0.00   -0.00
  107.50  216.19  -25.00  200.00   16.67   -0.00   -0.00
  110.00  216.25  -25.00  200.00   16.67   -0.00   -0.00
  112.50  216.32  -25.00  200.00   16.67   -0.00   -0.00
  115.00  216.40  -25.00  200.00   16.67   -0.00   -0.00
  117.50  216.50  -25.00  200.00   16.67   -0.00   -0.00
  120.00  216.58  -25.00  200.00   16.67   -0.00   -0.00
  122.50  216.68  -25.00  200.00   16.66   -0.00   -0.00
  125.00  216.73  -25.00  200.00   16.67   -0.00   -0.00
  127.50  216.71  -25.00  200.00   16.68   -0.00   -0.00
  130.00  216.73  -25.00  200.00   16.68   -0.00   -0.00
  132.50  216.79  -25.00  200.00   16.67   -0.00   -0.00
  135.00  216.86  -25.00  200.00   16.67   -0.00   -0.00
  137.50  216.93  -25.00  200.00   16.67   -0.00   -0.00
  140.00  216.99  -25.00  200.00   16.67   -0.00   -0.00
  142.50  217.06  -25.00  200.00   16.67   -0.00   -0.00
  145.00  217.16  -25.00  200.00   16.66   -0.00   -0.00
  147.50  217.25  -25.00  200.00   16.66   -0.00   -0.00
  150.00  217.35  -25.00  200.00   16.66   -0.00   -0.00
  152.50  217.41  -25.00  200.00   16.67   -0.00   -0.00
  155.00  217.39  -25.00  200.00   16.68   -0.00   -0.00
  157.50  217.41  -25.00  200.00   16.68   -0.00   -0.00
  160.00  217.46  -25.00  200.00   16.67   -0.00   -0.00
  162.50  217.53  -25.00  200.00   16.66   -0.00   -0.00
  165.00  217.59  -25.00  200.00   16.67   -0.00   -0.00
  167.50  217.65  -25.00  200.00   16.67   -0.00   -0.00
  170.00  217.72  -25.00  200.00   16.66   -0.00   -0.00
  172.50  217.81  -25.00  200.00   16.66   -0.00   -0.00
  175.00  217.90  -25.00  200.00   16.66   -0.00   -0.00
  177.50  218.00  -25.00  200.00   16.65   -0.00   -0.00
  180.00  218.08  -25.00  200.00   16.66   -0.00   -0.00
  182.50  218.06  -25.00  200.00   16.68   -0.00   -0.00
  185.00  218.07  -25.00  200.00   16.68   -0.00   -0.00
  187.50  218.12  -25.00  200.00   16.67   -0.00   -0.00
  190.00  218.19  -25.00  200.00   16.66   -0.00   -0.00
  192.50  218.25  -25.00  200.00   16.66   -0.00   -0.00
  195.00  218.31  -25.00  200.00   16.66   -0.00   -0.00
  197.50  218.38  -25.00  200.00   16.66   -0.00   -0.00
  200.00  218.46  -25.00  200.00   16.66   -0.00   -0.00
  202.50  218.56  -25.00  200.00   16.65   -0.00   -0.00
  205.00  218.65  -25.00  200.00   16.65   -0.00   -0.00
  207.50  218.75  -25.00  200.00   16.65   -0.00   -0.00
  210.00  218.74  -25.00  200.00   16.68   -0.00   -0.00
  212.50  218.74  -25.00  200.00   16.68   -0.00   -0.00
  215.00  218.77  -25.00  200.00   16.67   -0.00   -0.00
  217.50  218.84  -25.00  200.00   16.66   -0.00   -0.00
  220.00  218.91  -25.00  200.00   16.66   -0.00   -0.00
  222.50  218.97  -25.00  200.00   16.66   -0.00   -0.00
  225.00  219.03  -25.00  200.00   16.66   -0.00   -0.00
  227.50  219.11  -25.00  200.00   16.65   -0.00   -0.00
  230.00  219.21  -25.00  200.00   16.65   -0.00   -0.00
  232.50  219.30  -25.00  200.00   16.65   -0.00   -0.00
  235.00  219.41  -25.00  200.00   16.64   -0.00   -0.00
  237.50  219.41  -25.00  200.00   16.68   -0.00   -0.00
  240.00  219.40  -25.00  200.00   16.68   -0.00   -0.00
  242.50  219.43  -25.00  200.00   16.67   -0.00   -0.00
  245.00  219.49  -25.00  200.00   16.66   -0.00   -0.00
  247.50  219.56  -25.00  200.00   16.65   -0.00   -0.00
  250.00  219.62  -25.00  200.00   16.66   -0.00   -0.00
  252.50  219.68  -25.00  200.00   16.66   -0.00   -0.00
  255.00  219.75  -25.00  200.00   16.65   -0.00   -0.00
  257.50  219.85  -25.00  200.00   16.64   -0.00   -0.00
  260.00  219.94  -25.00  200.00   16.64   -0.00   -0.00
  262.50  220.05  -25.00  200.00   16.64   -0.00   -0.00
  265.00  220.07  -25.00  200.00   16.67   -0.00   -0.00
  267.50  220.06  -25.00  200.00   16.68   -0.00   -0.00
  270.00  220.08  -25.00  200.00   16.67   -0.00   -0.00
  272.50  220.13  -25.00  200.00   16.66   -0.00   -0.00
  275.00  220.21  -25.00  200.00   16.65   -0.00   -0.00
