TIME,WBHP:A-1H,WBHP:A-2AH,WBHP:A-3H,WBHP:A-5H,WGIR:A-1H,WGIR:A-2AH,WGIR:A-3H,WGIR:A-5H,WGOR:A-1H,WGOR:A-2AH,WGOR:A-3H,WGOR:A-5H,WGPT:A-1H,WGPT:A-2AH,WGPT:A-3H,WGPT:A-5H,WGPR:A-1H,WGPR:A-2AH,WGPR:A-3H,WGPR:A-5H,WOPT:A-1H,WOPT:A-2AH,WOPT:A-3H,WOPT:A-5H,WOPR:A-1H,WOPR:A-2AH,WOPR:A-3H,WOPR:A-5H,WPI1:A-1H,WPI1:A-2AH,WPI1:A-3H,WPI1:A-5H,WWCT:A-1H,WWCT:A-2AH,WWCT:A-3H,WWCT:A-5H,
0.00,306.368,304.148,309.323,304.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.00,50,50,305.892,238.663,0,0,0,0,319.499,231.201,0,0,1.38424e+08,8.15585e+07,0,0,4.16475e+06,2.8702e+06,0,0,541252,489573,0,0,13035.3,12414.3,0,0,159.149,108.1,0,0,0.000566515,0.000484288,0,0,
59.00,50,50,302.814,203.263,0,0,0,0,282.846,427.873,0,0,2.27713e+08,1.74392e+08,0,0,2.69995e+06,3.64076e+06,0,0,840728,769321,0,0,9545.65,8508.99,0,0,153.033,91.0178,0,0,0.000637209,0.000670295,0,0,
62.00,50,50,302.513,199.856,0,0,0,0,280.544,454.368,0,0,2.35554e+08,1.85542e+08,0,0,2.61385e+06,3.71682e+06,0,0,868679,793862,0,0,9317.07,8180.2,0,0,152.53,89.328,0,0,0.000642322,0.000692682,0,0,
90.00,50,50,299.958,171.976,0,0,0,0,270.183,702.244,0,0,2.98952e+08,2.96892e+08,0,0,2.04072e+06,4.05672e+06,0,0,1.09952e+06,981040,0,0,7553.09,5776.79,0,0,147.444,76.6446,0,0,0.000688124,0.000909101,0,0,
107.00,50,50,298.681,158.228,0,0,0,0,256.958,834.403,0,0,3.30263e+08,3.65308e+08,0,0,1.72847e+06,3.98929e+06,0,0,1.21885e+06,1.0682e+06,0,0,6726.68,4781.01,0,0,145.326,71.1763,0,0,0.00071103,0.00103724,0,0,
121.00,50,50,297.741,148.544,0,0,0,0,243.632,926.145,0,0,3.52297e+08,4.19885e+08,0,0,1.49996e+06,3.84526e+06,0,0,1.30761e+06,1.1291e+06,0,0,6156.67,4151.9,0,0,144.187,67.684,0,0,0.000726114,0.00113485,0,0,
135.00,50,50,296.86,140.09,0,0,0,0,229.664,1001.2,0,0,3.71408e+08,4.71951e+08,0,0,1.30076e+06,3.65217e+06,0,0,1.38913e+06,1.18241e+06,0,0,5663.75,3647.78,0,0,143.402,64.8466,0,0,0.000738241,0.0012246,0,0,
136.00,50,50,296.799,139.513,0,0,0,0,228.63,1006.23,0,0,3.72696e+08,4.75589e+08,0,0,1.28718e+06,3.63753e+06,0,0,1.39476e+06,1.18603e+06,0,0,5629.98,3615,0,0,143.363,64.6519,0,0,0.00073895,0.0012309,0,0,
151.00,50,50,295.899,131.66,0,0,0,0,212.643,1069.15,0,0,3.90231e+08,5.28029e+08,0,0,1.10329e+06,3.41127e+06,0,0,1.47494e+06,1.23613e+06,0,0,5188.47,3190.64,0,0,142.998,62.2606,0,0,0.000747968,0.00131568,0,0,
175.00,50,50,294.544,120.97,0,0,0,0,191.575,1142.29,0,0,4.13376e+08,6.04553e+08,0,0,884572,3.04014e+06,0,0,1.591e+06,1.3048e+06,0,0,4617.37,2661.44,0,0,142.681,59.3065,0,0,0.000757379,0.00143829,0,0,
182.00,50,50,294.163,118.223,0,0,0,0,186.76,1158.27,0,0,4.19306e+08,6.25275e+08,0,0,834924,2.93419e+06,0,0,1.62255e+06,1.32275e+06,0,0,4470.56,2533.25,0,0,142.534,58.6177,0,0,0.000759594,0.00147055,0,0,
212.00,50,50,292.583,108.321,0,0,0,0,170.383,1205.36,0,0,4.41311e+08,7.05979e+08,0,0,668324,2.52534e+06,0,0,1.74678e+06,1.39069e+06,0,0,3922.48,2095.09,0,0,141.678,56.3877,0,0,0.000767329,0.0015861,0,0,
234.00,50,50,291.453,102.628,0,0,0,0,158.359,1220.42,0,0,4.54691e+08,7.58099e+08,0,0,570537,2.27157e+06,0,0,1.82871e+06,1.43357e+06,0,0,3602.8,1861.3,0,0,141.479,55.2842,0,0,0.000769907,0.00164981,0,0,
243.00,50,50,290.994,100.626,0,0,0,0,151.72,1217.72,0,0,4.59552e+08,7.77837e+08,0,0,531510,2.17122e+06,0,0,1.86052e+06,1.44979e+06,0,0,3503.22,1783.01,0,0,141.783,54.9845,0,0,0.000767841,0.00166995,0,0,
274.00,50,50,289.456,94.869,0,0,0,0,139.04,1225.17,0,0,4.7443e+08,8.40333e+08,0,0,443061,1.90983e+06,0,0,1.96332e+06,1.50093e+06,0,0,3186.58,1558.83,0,0,141.536,53.9033,0,0,0.000772322,0.0017336,0,0,
294.00,50,50,288.5,91.8151,0,0,0,0,130.423,1226.51,0,0,4.82678e+08,8.76733e+08,0,0,395230,1.76816e+06,0,0,2.02506e+06,1.53061e+06,0,0,3030.36,1441.62,0,0,141.7,53.2919,0,0,0.000772821,0.00176799,0,0,
304.00,50,50,288.034,90.4241,0,0,0,0,126.521,1225.85,0,0,4.86474e+08,8.93926e+08,0,0,374651,1.70326e+06,0,0,2.05484e+06,1.54463e+06,0,0,2961.19,1389.45,0,0,141.78,53.0222,0,0,0.000773027,0.00178281,0,0,
335.00,50,50,286.641,86.566,0,0,0,0,116.887,1219.18,0,0,4.97136e+08,9.43429e+08,0,0,323798,1.52227e+06,0,0,2.14316e+06,1.58513e+06,0,0,2770.19,1248.6,0,0,141.879,52.3163,0,0,0.000774168,0.00182117,0,0,
349.00,50,50,286.033,85.0152,0,0,0,0,113.737,1215.7,0,0,5.01503e+08,9.64058e+08,0,0,306275,1.44948e+06,0,0,2.18122e+06,1.60208e+06,0,0,2692.84,1192.3,0,0,141.839,52.0286,0,0,0.000774996,0.00183646,0,0,
360.00,50,50,285.561,83.8667,0,0,0,0,111.654,1212.62,0,0,5.04781e+08,9.79598e+08,0,0,294128,1.39556e+06,0,0,2.2104e+06,1.61488e+06,0,0,2634.28,1150.87,0,0,141.773,51.8193,0,0,0.000775555,0.00184758,0,0,
365.00,50,50,285.349,83.3665,0,0,0,0,110.781,1211.02,0,0,5.06226e+08,9.86458e+08,0,0,289013,1.37195e+06,0,0,2.22345e+06,1.62055e+06,0,0,2608.86,1132.88,0,0,141.742,51.7304,0,0,0.000775883,0.00185235,0,0,
372.00,50,50,285.054,82.6821,0,0,0,0,109.637,1208.47,0,0,5.08213e+08,9.9589e+08,0,0,282133,1.33947e+06,0,0,2.24152e+06,1.62835e+06,0,0,2573.34,1108.4,0,0,141.689,51.6125,0,0,0.00077618,0.00185873,0,0,
396.00,50,50,284.063,80.5056,0,0,0,0,106.244,1197.93,0,0,5.14677e+08,1.02652e+09,0,0,261232,1.23533e+06,0,0,2.30161e+06,1.65382e+06,0,0,2458.79,1031.22,0,0,141.481,51.2657,0,0,0.000783755,0.00187834,0,0,
422.00,50,50,283.018,78.3971,0,0,0,0,102.665,1178.74,0,0,5.2116e+08,1.05702e+09,0,0,241332,1.13048e+06,0,0,2.36385e+06,1.6795e+06,0,0,2350.67,959.059,0,0,141.325,51.0484,0,0,0.000795825,0.00189356,0,0,
426.00,50,50,282.859,78.0936,0,0,0,0,102.16,1175.19,0,0,5.22114e+08,1.06148e+09,0,0,238618,1.11533e+06,0,0,2.3732e+06,1.6833e+06,0,0,2335.73,949.071,0,0,141.304,51.0294,0,0,0.000797638,0.00189528,0,0,
427.00,50,50,282.82,78.0168,0,0,0,0,102.04,1174.3,0,0,5.22352e+08,1.0626e+09,0,0,237920,1.11153e+06,0,0,2.37553e+06,1.68425e+06,0,0,2331.63,946.547,0,0,141.295,51.0246,0,0,0.000797981,0.00189569,0,0,
449.00,50,50,281.956,76.4441,0,0,0,0,99.8624,1152.99,0,0,5.2741e+08,1.086e+09,0,0,224926,1.03287e+06,0,0,2.42577e+06,1.70439e+06,0,0,2252.36,895.819,0,0,141.119,50.9688,0,0,0.000807753,0.00190299,0,0,
453.00,50,50,281.8,76.1721,0,0,0,0,99.5116,1148.93,0,0,5.28301e+08,1.09007e+09,0,0,222752,1.01939e+06,0,0,2.43472e+06,1.70794e+06,0,0,2238.46,887.245,0,0,141.084,50.9654,0,0,0.000809421,0.00190397,0,0,
456.00,50,50,281.683,75.9698,0,0,0,0,99.2519,1145.84,0,0,5.28965e+08,1.0931e+09,0,0,221138,1.00938e+06,0,0,2.4414e+06,1.71058e+06,0,0,2228.05,880.911,0,0,141.057,50.9641,0,0,0.00081064,0.00190464,0,0,
486.00,50,50,280.529,74.1014,0,0,0,0,96.708,1110.01,0,0,5.35336e+08,1.12169e+09,0,0,206285,914098,0,0,2.50655e+06,1.73598e+06,0,0,2133.07,823.503,0,0,140.834,51.0304,0,0,0.00082196,0.00190806,0,0,
487.00,50,50,280.491,74.041,0,0,0,0,96.6304,1108.76,0,0,5.35542e+08,1.1226e+09,0,0,205801,911016,0,0,2.50868e+06,1.7368e+06,0,0,2129.78,821.653,0,0,140.823,51.0339,0,0,0.000822204,0.00190809,0,0,
513.00,50,50,279.52,72.6116,0,0,0,0,94.5794,1074.02,0,0,5.40718e+08,1.14515e+09,0,0,194686,837401,0,0,2.56296e+06,1.75751e+06,0,0,2058.43,779.691,0,0,140.671,51.1909,0,0,0.000830432,0.00190635,0,0,
517.00,50,50,279.373,72.4059,0,0,0,0,94.383,1068.83,0,0,5.41491e+08,1.14846e+09,0,0,193276,826958,0,0,2.57115e+06,1.76061e+06,0,0,2047.78,773.707,0,0,140.635,51.2173,0,0,0.000831659,0.00190592,0,0,
548.00,50,50,278.256,70.9318,0,0,0,0,92.8156,1030.01,0,0,5.47292e+08,1.17273e+09,0,0,182783,752948,0,0,2.63321e+06,1.78382e+06,0,0,1969.31,731.007,0,0,140.384,51.4356,0,0,0.00084019,0.00190142,0,0,
578.00,50,50,277.208,69.688,0,0,0,0,91.3759,996.315,0,0,5.52616e+08,1.19424e+09,0,0,173924,691886,0,0,2.69112e+06,1.8051e+06,0,0,1903.39,694.445,0,0,140.191,51.6372,0,0,0.000846781,0.00189677,0,0,
609.00,50,50,276.153,68.5654,0,0,0,0,90.2309,959.224,0,0,5.57872e+08,1.21465e+09,0,0,166432,634539,0,0,2.74905e+06,1.82602e+06,0,0,1844.51,661.513,0,0,140.004,51.9278,0,0,0.000852021,0.00188832,0,0,
624.00,50,50,275.649,68.0807,0,0,0,0,89.6898,939.087,0,0,5.60335e+08,1.22391e+09,0,0,163173,608761,0,0,2.77647e+06,1.83581e+06,0,0,1819.31,648.248,0,0,139.931,52.1382,0,0,0.000854059,0.00188131,0,0,
625.00,50,50,275.616,68.0482,0,0,0,0,89.6594,937.734,0,0,5.60498e+08,1.22452e+09,0,0,162951,607016,0,0,2.77828e+06,1.83645e+06,0,0,1817.45,647.322,0,0,139.922,52.1528,0,0,0.000854114,0.00188078,0,0,
640.00,50,50,275.117,67.5973,0,0,0,0,89.2531,917.085,0,0,5.62915e+08,1.23339e+09,0,0,160096,582614,0,0,2.80532e+06,1.84605e+06,0,0,1793.73,635.289,0,0,139.842,52.3847,0,0,0.000855927,0.00187285,0,0,
647.00,50,50,274.887,67.3947,0,0,0,0,89.0944,907.335,0,0,5.6403e+08,1.23741e+09,0,0,158864,571608,0,0,2.81782e+06,1.85047e+06,0,0,1783.1,629.985,0,0,139.802,52.4988,0,0,0.000856669,0.00186892,0,0,
670.00,50,50,274.136,66.7627,0,0,0,0,88.5281,872.617,0,0,5.6763e+08,1.25006e+09,0,0,155054,535867,0,0,2.85838e+06,1.86474e+06,0,0,1751.46,614.092,0,0,139.698,52.9386,0,0,0.000858548,0.00185406,0,0,
677.00,50,50,273.91,66.5799,0,0,0,0,88.3554,862.751,0,0,5.6871e+08,1.25376e+09,0,0,153990,525998,0,0,2.8706e+06,1.86901e+06,0,0,1742.84,609.675,0,0,139.672,53.0669,0,0,0.000858951,0.0018497,0,0,
701.00,50,50,273.143,65.998,0,0,0,0,87.8904,831.277,0,0,5.72358e+08,1.26593e+09,0,0,150776,494824,0,0,2.91203e+06,1.88343e+06,0,0,1715.5,595.258,0,0,139.58,53.4792,0,0,0.000860033,0.00183601,0,0,
731.00,50,50,272.203,65.354,0,0,0,0,87.7398,792.465,0,0,5.76826e+08,1.28013e+09,0,0,147691,458392,0,0,2.96293e+06,1.90099e+06,0,0,1683.28,578.438,0,0,139.425,54.0271,0,0,0.000860956,0.00181882,0,0,
762.00,50,50,271.247,64.7514,0,0,0,0,87.8261,747.46,0,0,5.81356e+08,1.29367e+09,0,0,145077,420613,0,0,3.01454e+06,1.91864e+06,0,0,1651.87,562.723,0,0,139.245,54.7463,0,0,0.000861316,0.00179758,0,0,
793.00,50,50,270.311,64.1888,0,0,0,0,87.9396,695.449,0,0,5.85811e+08,1.30604e+09,0,0,142707,382370,0,0,3.06523e+06,1.93585e+06,0,0,1622.79,549.818,0,0,139.076,55.6493,0,0,0.000861023,0.00177163,0,0,
821.00,50,50,269.49,63.7155,0,0,0,0,88.1177,644.337,0,0,5.89776e+08,1.31618e+09,0,0,140836,347970,0,0,3.11026e+06,1.95108e+06,0,0,1598.27,540.043,0,0,138.926,56.6004,0,0,0.000860289,0.00174514,0,0,
852.00,50,50,268.604,63.3036,0,0,0,0,88.1924,586.142,0,0,5.94106e+08,1.32635e+09,0,0,138795,313591,0,0,3.15936e+06,1.96771e+06,0,0,1573.78,535.009,0,0,138.787,57.7856,0,0,0.000858814,0.0017113,0,0,
882.00,50,50,267.771,63.0277,0,0,0,0,87.8245,531.089,0,0,5.98232e+08,1.33524e+09,0,0,136571,284328,0,0,3.20624e+06,1.98376e+06,0,0,1555.05,535.369,0,0,138.737,59.1313,0,0,0.000856414,0.00167354,0,0,
913.00,50,50,266.935,62.8615,0,0,0,0,86.8872,478.656,0,0,6.02421e+08,1.34358e+09,0,0,134068,258338,0,0,3.25421e+06,2.00043e+06,0,0,1543.01,539.716,0,0,138.791,60.5279,0,0,0.000852671,0.00163538,0,0,
943.00,50,50,266.144,62.8039,0,0,0,0,85.8172,432.58,0,0,6.06405e+08,1.35094e+09,0,0,131952,236578,0,0,3.30039e+06,2.01674e+06,0,0,1537.59,546.899,0,0,138.901,61.8344,0,0,0.000848259,0.00160101,0,0,
974.00,50,50,265.344,62.8017,0,0,0,0,84.5564,394.133,0,0,6.10461e+08,1.35795e+09,0,0,130044,219301,0,0,3.34805e+06,2.03387e+06,0,0,1537.96,556.413,0,0,139.067,63.1429,0,0,0.000842862,0.00156814,0,0,
1005.00,50,50,264.563,62.8178,0,0,0,0,83.5093,370.792,0,0,6.14468e+08,1.36455e+09,0,0,128837,209006,0,0,3.39581e+06,2.05126e+06,0,0,1542.78,563.674,0,0,139.234,64.002,0,0,0.000837057,0.00154788,0,0,
1035.00,50,50,263.824,62.8361,0,0,0,0,82.9173,347.276,0,0,6.18322e+08,1.37065e+09,0,0,128286,198855,0,0,3.44217e+06,2.06832e+06,0,0,1547.16,572.615,0,0,139.344,64.915,0,0,0.000831502,0.00152727,0,0,
