TIME,WBHP:A-1H,WBHP:A-2AH,WBHP:A-3H,WBHP:A-5H,WGIR:A-1H,WGIR:A-2AH,WGIR:A-3H,WGIR:A-5H,WGOR:A-1H,WGOR:A-2AH,WGOR:A-3H,WGOR:A-5H,WGPT:A-1H,WGPT:A-2AH,WGPT:A-3H,WGPT:A-5H,WGPR:A-1H,WGPR:A-2AH,WGPR:A-3H,WGPR:A-5H,WOPT:A-1H,WOPT:A-2AH,WOPT:A-3H,WOPT:A-5H,WOPR:A-1H,WOPR:A-2AH,WOPR:A-3H,WOPR:A-5H,WPI1:A-1H,WPI1:A-2AH,WPI1:A-3H,WPI1:A-5H,WWCT:A-1H,WWCT:A-2AH,WWCT:A-3H,WWCT:A-5H,
0.00,306.368,304.148,309.323,304.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.00,297.079,296.51,309.159,301.189,0,0,0,0,101.24,101.215,0,0,1.7383e+06,1.05511e+06,0,0,56027.1,34039.2,0,0,17149.7,10426,0,0,553.411,336.305,0,0,248.074,146.912,0,0,6.54316e-06,9.00985e-06,0,0,
59.00,273.196,275.37,308.667,291.674,0,0,0,0,100.825,101.325,0,0,7.49108e+06,4.8241e+06,0,0,205215,134647,0,0,74112.1,47639.6,0,0,2035.36,1328.87,0,0,251.758,148.717,0,0,2.71453e-05,3.70072e-05,0,0,
62.00,272.181,274.436,308.607,290.756,0,0,0,0,100.788,101.335,0,0,8.10657e+06,5.22807e+06,0,0,205162,134656,0,0,80218.8,51626.1,0,0,2035.58,1328.82,0,0,251.962,148.833,0,0,2.82793e-05,3.91968e-05,0,0,
90.00,263.57,273.165,308,284.04,0,0,0,0,100.395,101.391,0,0,1.42489e+07,7.62324e+06,0,0,219115,85553.9,0,0,141300,75254.3,0,0,2182.53,843.804,0,0,253.461,149.4,0,0,3.83532e-05,4.97999e-05,0,0,
107.00,259.192,260.841,288.901,279.156,0,0,0,0,100.164,101.43,86.9891,0,1.79709e+07,1.02274e+07,2.59097e+06,0,218814,153203,152461,0,178429,100933,29796.1,0,2184.55,1510.42,1752.64,0,254.255,150.344,158.467,0,4.47714e-05,6.9329e-05,1.51396e-05,0,
121.00,255.873,257.285,286.976,275.529,0,0,0,0,100.141,101.457,87.0483,0,2.10333e+07,1.23725e+07,4.72631e+06,0,218776,153229,152554,0,209016,122077,54331.9,0,2184.69,1510.28,1752.52,0,254.991,150.769,158.755,0,4.97637e-05,7.87888e-05,2.092e-05,0,
135.00,252.467,264.051,273.423,302.222,0,0,0,0,100.555,101.45,87.113,0,2.44718e+07,1.38752e+07,8.31571e+06,0,245598,107327,256463,0,243210,136888,95550,0,2442.43,1057.93,2944.03,0,254.823,150.34,159.545,328.277,5.34342e-05,6.75734e-05,3.88212e-05,0,
136.00,252.408,264.182,273.248,302.796,0,0,0,0,100.413,101.448,87.1177,0,2.47171e+07,1.39825e+07,8.57219e+06,0,245355,107325,256476,0,245653,137946,98494,0,2443.46,1057.93,2944.01,0,254.869,150.325,159.571,321.416,5.3467e-05,6.71696e-05,3.91804e-05,0,
151.00,252.34,265.521,271.213,303.414,0,0,0,0,99.325,101.418,87.1617,0,2.83763e+07,1.55922e+07,1.24205e+07,0,243482,107303,256590,0,282395,153816,142652,0,2451.36,1058.03,2943.84,0,254.894,150.16,159.868,344.113,5.30327e-05,6.30092e-05,4.52892e-05,0,
175.00,251.887,269.835,260.641,328.647,0,0,0,0,98.548,101.339,87.1803,0,3.5064e+07,1.85674e+07,2.02543e+07,0,278112,123937,326430,0,350070,183165,232516,0,2822.09,1222.99,3744.31,0,253.987,149.493,160.575,353.483,5.12581e-05,4.7867e-05,6.30317e-05,0,
182.00,252.992,271.4,259.853,330.596,0,0,0,0,98.3797,101.313,87.1773,0,3.7009e+07,1.94348e+07,2.25393e+07,0,277777,123915,326421,0,369832,191726,258727,0,2823.52,1223.09,3744.34,0,253.586,149.295,160.673,355.14,4.94664e-05,4.39967e-05,6.5495e-05,0,
212.00,259.967,279.876,255.763,334.736,0,0,0,0,97.7035,101.204,87.1424,0,4.4896e+07,2.25669e+07,3.26174e+07,0,262388,104371,335888,0,450333,222660,374357,0,2685.56,1031.29,3854.47,0,251.499,148.383,161.062,373.279,4.13297e-05,2.66686e-05,7.82136e-05,0,
234.00,253.261,279.625,245.56,324.766,0,0,0,0,97.3161,101.149,87.1031,0,5.24064e+07,2.48685e+07,4.15654e+07,0,341009,104602,406686,0,527389,245410,477072,0,3504.14,1034.15,4669.03,0,251.912,148.386,161.578,383.85,4.63796e-05,2.72092e-05,0.000104846,0,
