TIME,WBHP:A-35,WBHP:A-17,WBHP:A-13,WBHP:A-39A,WBHP:A-2AH,WBHP:A-5H,WBHP:A-10,WBHP:A-38,WBHP:A-1H,WGIR:A-35,WGIR:A-17,WGIR:A-13,WGIR:A-39A,WGIR:A-2AH,WGIR:A-5H,WGIR:A-10,WGIR:A-38,WGIR:A-1H,WGOR:A-35,WGOR:A-17,WGOR:A-13,WGOR:A-39A,WGOR:A-2AH,WGOR:A-5H,WGOR:A-10,WGOR:A-38,WGOR:A-1H,WGPT:A-35,WGPT:A-17,WGPT:A-13,WGPT:A-39A,WGPT:A-2AH,WGPT:A-5H,WGPT:A-10,WGPT:A-38,WGPT:A-1H,WGPR:A-35,WGPR:A-17,WGPR:A-13,WGPR:A-39A,WGPR:A-2AH,WGPR:A-5H,WGPR:A-10,WGPR:A-38,WGPR:A-1H,WOPT:A-35,WOPT:A-17,WOPT:A-13,WOPT:A-39A,WOPT:A-2AH,WOPT:A-5H,WOPT:A-10,WOPT:A-38,WOPT:A-1H,WOPR:A-35,WOPR:A-17,WOPR:A-13,WOPR:A-39A,WOPR:A-2AH,WOPR:A-5H,WOPR:A-10,WOPR:A-38,WOPR:A-1H,WPI1:A-35,WPI1:A-17,WPI1:A-13,WPI1:A-39A,WPI1:A-2AH,WPI1:A-5H,WPI1:A-10,WPI1:A-38,WPI1:A-1H,WWCT:A-35,WWCT:A-17,WWCT:A-13,WWCT:A-39A,WWCT:A-2AH,WWCT:A-5H,WWCT:A-10,WWCT:A-38,WWCT:A-1H,
0.00,0,0,0,0,304.148,304.799,0,0,306.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.00,0,0,0,0,296.51,301.189,0,0,297.079,0,0,0,0,0,0,0,0,0,0,0,0,0,101.215,0,0,0,101.24,0,0,0,0,1.05511e+06,0,0,0,1.7383e+06,0,0,0,0,34039.2,0,0,0,56027.1,0,0,0,0,10426,0,0,0,17149.7,0,0,0,0,336.305,0,0,0,553.411,0,0,0,0,146.912,0,0,0,248.074,0,0,0,0,9.00985e-06,0,0,0,6.54316e-06,
59.00,0,0,0,0,275.37,291.674,0,0,273.196,0,0,0,0,0,0,0,0,0,0,0,0,0,101.325,0,0,0,100.825,0,0,0,0,4.8241e+06,0,0,0,7.49108e+06,0,0,0,0,134647,0,0,0,205215,0,0,0,0,47639.6,0,0,0,74112.1,0,0,0,0,1328.87,0,0,0,2035.36,0,0,0,0,148.717,0,0,0,251.758,0,0,0,0,3.70072e-05,0,0,0,2.71453e-05,
62.00,0,0,0,0,274.436,290.756,0,0,272.181,0,0,0,0,0,0,0,0,0,0,0,0,0,101.335,0,0,0,100.788,0,0,0,0,5.22807e+06,0,0,0,8.10657e+06,0,0,0,0,134656,0,0,0,205162,0,0,0,0,51626.1,0,0,0,80218.8,0,0,0,0,1328.82,0,0,0,2035.58,0,0,0,0,148.833,0,0,0,251.962,0,0,0,0,3.91968e-05,0,0,0,2.82793e-05,
90.00,0,0,0,0,273.165,284.04,0,0,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,101.391,0,0,0,100.395,0,0,0,0,7.62324e+06,0,0,0,1.42489e+07,0,0,0,0,85553.9,0,0,0,219115,0,0,0,0,75254.3,0,0,0,141300,0,0,0,0,843.804,0,0,0,2182.53,0,0,0,0,149.4,0,0,0,253.461,0,0,0,0,4.97999e-05,0,0,0,3.83532e-05,
107.00,0,0,0,0,260.841,279.156,0,0,259.192,0,0,0,0,0,0,0,0,0,0,0,0,0,101.43,0,0,0,100.164,0,0,0,0,1.02274e+07,0,0,0,1.79709e+07,0,0,0,0,153203,0,0,0,218814,0,0,0,0,100933,0,0,0,178429,0,0,0,0,1510.42,0,0,0,2184.55,0,0,0,0,150.344,0,0,0,254.255,0,0,0,0,6.9329e-05,0,0,0,4.47714e-05,
121.00,0,0,0,0,257.285,275.529,0,0,255.873,0,0,0,0,0,0,0,0,0,0,0,0,0,101.457,0,0,0,100.141,0,0,0,0,1.23725e+07,0,0,0,2.10333e+07,0,0,0,0,153229,0,0,0,218776,0,0,0,0,122077,0,0,0,209016,0,0,0,0,1510.28,0,0,0,2184.69,0,0,0,0,150.769,0,0,0,254.991,0,0,0,0,7.87888e-05,0,0,0,4.97637e-05,
135.00,0,0,0,0,264.051,302.222,0,0,252.467,0,0,0,0,0,0,0,0,0,0,0,0,0,101.45,0,0,0,100.555,0,0,0,0,1.38752e+07,0,0,0,2.44718e+07,0,0,0,0,107327,0,0,0,245598,0,0,0,0,136888,0,0,0,243210,0,0,0,0,1057.93,0,0,0,2442.43,0,0,0,0,150.34,328.277,0,0,254.823,0,0,0,0,6.75734e-05,0,0,0,5.34342e-05,
136.00,0,0,0,0,264.182,302.796,0,0,252.408,0,0,0,0,0,0,0,0,0,0,0,0,0,101.448,0,0,0,100.413,0,0,0,0,1.39825e+07,0,0,0,2.47171e+07,0,0,0,0,107325,0,0,0,245355,0,0,0,0,137946,0,0,0,245653,0,0,0,0,1057.93,0,0,0,2443.46,0,0,0,0,150.325,321.416,0,0,254.869,0,0,0,0,6.71696e-05,0,0,0,5.3467e-05,
151.00,0,0,0,0,265.521,303.414,0,0,252.34,0,0,0,0,0,0,0,0,0,0,0,0,0,101.418,0,0,0,99.325,0,0,0,0,1.55922e+07,0,0,0,2.83763e+07,0,0,0,0,107303,0,0,0,243482,0,0,0,0,153816,0,0,0,282395,0,0,0,0,1058.03,0,0,0,2451.36,0,0,0,0,150.16,344.113,0,0,254.894,0,0,0,0,6.30092e-05,0,0,0,5.30327e-05,
175.00,0,0,0,0,269.835,328.647,0,0,251.887,0,0,0,0,0,0,0,0,0,0,0,0,0,101.339,0,0,0,98.548,0,0,0,0,1.85674e+07,0,0,0,3.5064e+07,0,0,0,0,123937,0,0,0,278112,0,0,0,0,183165,0,0,0,350070,0,0,0,0,1222.99,0,0,0,2822.09,0,0,0,0,149.493,353.483,0,0,253.987,0,0,0,0,4.7867e-05,0,0,0,5.12581e-05,
182.00,0,0,0,0,271.4,330.596,0,0,252.992,0,0,0,0,0,0,0,0,0,0,0,0,0,101.313,0,0,0,98.3797,0,0,0,0,1.94348e+07,0,0,0,3.7009e+07,0,0,0,0,123915,0,0,0,277777,0,0,0,0,191726,0,0,0,369832,0,0,0,0,1223.09,0,0,0,2823.52,0,0,0,0,149.295,355.14,0,0,253.586,0,0,0,0,4.39967e-05,0,0,0,4.94664e-05,
212.00,0,0,0,0,279.876,334.736,0,0,259.967,0,0,0,0,0,0,0,0,0,0,0,0,0,101.204,0,0,0,97.7035,0,0,0,0,2.25669e+07,0,0,0,4.4896e+07,0,0,0,0,104371,0,0,0,262388,0,0,0,0,222660,0,0,0,450333,0,0,0,0,1031.29,0,0,0,2685.56,0,0,0,0,148.383,373.279,0,0,251.499,0,0,0,0,2.66686e-05,0,0,0,4.13297e-05,
234.00,0,0,0,0,279.625,324.766,302.879,0,253.261,0,0,0,0,0,0,0,0,0,0,0,0,0,101.149,0,0,0,97.3161,0,0,0,0,2.48685e+07,0,0,0,5.24064e+07,0,0,0,0,104602,0,0,0,341009,0,0,0,0,245410,0,0,0,527389,0,0,0,0,1034.15,0,0,0,3504.14,0,0,0,0,148.386,383.85,0,0,251.912,0,0,0,0,2.72092e-05,0,0,0,4.63796e-05,
243.00,0,0,0,0,279.471,324.491,301.896,0,252.862,0,0,0,0,0,0,0,0,0,0,0,0,0,101.131,0,0,0,97.1736,0,0,0,0,2.58098e+07,0,0,0,5.54731e+07,0,0,0,0,104589,0,0,0,340656,0,0,0,0,254718,0,0,0,558936,0,0,0,0,1034.2,0,0,0,3505.64,0,0,0,0,148.396,388.426,0,0,251.869,0,0,0,0,2.75068e-05,0,0,0,4.71641e-05,
