TIME,WBHP:A-1H,WBHP:A-2AH,WBHP:A-3H,WBHP:A-5H,WGIR:A-1H,WGIR:A-2AH,WGIR:A-3H,WGIR:A-5H,WGOR:A-1H,WGOR:A-2AH,WGOR:A-3H,WGOR:A-5H,WGPT:A-1H,WGPT:A-2AH,WGPT:A-3H,WGPT:A-5H,WGPR:A-1H,WGPR:A-2AH,WGPR:A-3H,WGPR:A-5H,WOPT:A-1H,WOPT:A-2AH,WOPT:A-3H,WOPT:A-5H,WOPR:A-1H,WOPR:A-2AH,WOPR:A-3H,WOPR:A-5H,WPI1:A-1H,WPI1:A-2AH,WPI1:A-3H,WPI1:A-5H,WWCT:A-1H,WWCT:A-2AH,WWCT:A-3H,WWCT:A-5H,
0.00,306.368,304.148,309.323,304.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.00,55.4127,188.932,305.434,238.461,0,0,0,0,506.514,313.096,0,0,1.87508e+08,1.15456e+08,0,0,1.01303e+07,6.26192e+06,0,0,620000,620000,0,0,20000,20000,0,0,744.29,2058.02,0,0,0.000969687,0.000305233,0,0,
59.00,50,99.7699,301.205,174.964,0,0,0,0,605.434,666.978,0,0,3.62871e+08,4.14287e+08,0,0,4.65068e+06,1.33396e+07,0,0,933269,1.18e+06,0,0,7681.56,20000,0,0,637.218,1377.62,0,0,0.00126593,0.000873967,0,0,
62.00,50,90.2993,300.805,168.086,0,0,0,0,611.994,692.43,0,0,3.75808e+08,4.55833e+08,0,0,4.31235e+06,1.38486e+07,0,0,954408,1.24e+06,0,0,7046.4,20000,0,0,632.919,1315.45,0,0,0.00128693,0.000959053,0,0,
90.00,50,50,297.584,116.239,0,0,0,0,555.035,852.995,0,0,4.49208e+08,8.24844e+08,0,0,1.64619e+06,1.00905e+07,0,0,1.07695e+06,1.70977e+06,0,0,2965.91,11829.5,0,0,649.754,975.126,0,0,0.00139675,0.00155434,0,0,
107.00,50,50,296.042,99.5483,0,0,0,0,441.406,903.768,0,0,4.68497e+08,9.59466e+08,0,0,894143,6.84552e+06,0,0,1.11636e+06,1.86155e+06,0,0,2025.67,7574.42,0,0,728.698,944.803,0,0,0.00133704,0.00165876,0,0,
121.00,50,50,294.908,89.8311,0,0,0,0,421.933,923.376,0,0,4.77787e+08,1.03888e+09,0,0,574862,5.15321e+06,0,0,1.13957e+06,1.94812e+06,0,0,1362.45,5580.83,0,0,847.692,935.915,0,0,0.00113278,0.00171752,0,0,
135.00,50,50,293.866,82.6217,0,0,0,0,291.474,937.318,0,0,4.83858e+08,1.10004e+09,0,0,363411,3.95855e+06,0,0,1.15532e+06,2.01368e+06,0,0,1246.8,4223.27,0,0,839.618,933.491,0,0,0.00106239,0.00176631,0,0,
136.00,50,50,293.795,82.1848,0,0,0,0,276.626,937.801,0,0,4.84211e+08,1.10393e+09,0,0,353056,3.88572e+06,0,0,1.1566e+06,2.01782e+06,0,0,1276.3,4143.44,0,0,842.615,933.668,0,0,0.00105548,0.00176916,0,0,
151.00,50,50,292.758,76.7782,0,0,0,0,192.892,939.394,0,0,4.88632e+08,1.15356e+09,0,0,270969,3.00758e+06,0,0,1.17704e+06,2.07062e+06,0,0,1404.77,3201.61,0,0,859.099,940.062,0,0,0.000995645,0.00180494,0,0,
175.00,50,50,291.201,71.4314,0,0,0,0,153.609,914.2,0,0,4.94373e+08,1.21167e+09,0,0,224100,2.09368e+06,0,0,1.21188e+06,2.13328e+06,0,0,1458.9,2290.18,0,0,872.761,968.392,0,0,0.000915603,0.00182956,0,0,
182.00,50,50,290.76,70.3624,0,0,0,0,148.788,902.675,0,0,4.95898e+08,1.22533e+09,0,0,215765,1.90531e+06,0,0,1.22205e+06,2.14835e+06,0,0,1450.15,2110.74,0,0,874.893,980.067,0,0,0.000895022,0.0018308,0,0,
212.00,50,50,288.951,67.2533,0,0,0,0,135.735,836.367,0,0,5.01882e+08,1.27213e+09,0,0,188896,1.35744e+06,0,0,1.26453e+06,2.2023e+06,0,0,1391.66,1623.02,0,0,880.227,1054.02,0,0,0.000821261,0.00179689,0,0,
234.00,50,50,287.707,65.762,0,0,0,0,124.144,788.947,0,0,5.05804e+08,1.29849e+09,0,0,171595,1.10432e+06,0,0,1.29494e+06,2.235e+06,0,0,1382.22,1399.73,0,0,884.977,1147.65,0,0,0.000775594,0.00172296,0,0,
243.00,50,50,287.219,65.261,0,0,0,0,118.192,802.762,0,0,5.07302e+08,1.30794e+09,0,0,164824,1.03627e+06,0,0,1.30745e+06,2.24694e+06,0,0,1394.54,1290.89,0,0,887.958,1169.22,0,0,0.000757411,0.0017056,0,0,
274.00,50,50,285.618,63.8905,0,0,0,0,104.767,758.712,0,0,5.12186e+08,1.33616e+09,0,0,153540,830117,0,0,1.35202e+06,2.28347e+06,0,0,1465.54,1094.11,0,0,895.089,1201.9,0,0,0.000702865,0.00169613,0,0,
294.00,50,50,284.635,63.2936,0,0,0,0,100.299,719.169,0,0,5.15212e+08,1.35149e+09,0,0,150312,730611,0,0,1.38178e+06,2.30435e+06,0,0,1498.64,1015.91,0,0,897.823,1226.48,0,0,0.000671876,0.00168018,0,0,
304.00,50,50,284.158,63.0427,0,0,0,0,99.2919,702.472,0,0,5.16709e+08,1.35848e+09,0,0,149542,688792,0,0,1.39682e+06,2.31423e+06,0,0,1506.08,980.526,0,0,898.537,1236.88,0,0,0.000657443,0.0016726,0,0,
335.00,50,50,282.73,62.4097,0,0,0,0,98.0903,669.314,0,0,5.21314e+08,1.37789e+09,0,0,147710,584581,0,0,1.44354e+06,2.34274e+06,0,0,1505.86,873.403,0,0,899.637,1259.09,0,0,0.00061724,0.00165803,0,0,
349.00,50,50,282.106,62.1832,0,0,0,0,97.4999,651.067,0,0,5.23373e+08,1.38571e+09,0,0,146776,544601,0,0,1.46462e+06,2.35465e+06,0,0,1505.4,836.476,0,0,900.177,1268.67,0,0,0.000601214,0.00165107,0,0,
360.00,50,50,281.622,62.0229,0,0,0,0,97.1573,643.896,0,0,5.24983e+08,1.39148e+09,0,0,146095,515189,0,0,1.48117e+06,2.3636e+06,0,0,1503.69,800.112,0,0,900.484,1274.52,0,0,0.000589397,0.00164622,0,0,
365.00,50,50,281.404,61.9638,0,0,0,0,96.9943,633.235,0,0,5.25712e+08,1.39399e+09,0,0,145776,502803,0,0,1.48868e+06,2.36757e+06,0,0,1502.93,794.023,0,0,900.659,1279.33,0,0,0.000584325,0.00164225,0,0,
372.00,50,50,281.101,61.8852,0,0,0,0,96.6942,630.33,0,0,5.26729e+08,1.39741e+09,0,0,145274,484072,0,0,1.4992e+06,2.37298e+06,0,0,1502.41,767.966,0,0,900.884,1283.12,0,0,0.000577352,0.00163869,0,0,
396.00,50,50,280.085,61.7231,0,0,0,0,95.2702,618.346,0,0,5.30191e+08,1.40818e+09,0,0,143592,426075,0,0,1.53532e+06,2.39052e+06,0,0,1507.21,689.056,0,0,901.95,1296.7,0,0,0.000555506,0.00162153,0,0,
422.00,50,50,279.026,61.6485,0,0,0,0,93.7127,644.845,0,0,5.33901e+08,1.41862e+09,0,0,142056,388854,0,0,1.57462e+06,2.40724e+06,0,0,1515.86,603.019,0,0,903.08,1287.9,0,0,0.000534818,0.00162148,0,0,
426.00,50,50,278.867,61.6398,0,0,0,0,93.413,543.178,0,0,5.34468e+08,1.42014e+09,0,0,141822,381620,0,0,1.5807e+06,2.41005e+06,0,0,1518.22,702.568,0,0,903.302,1315.46,0,0,0.000531902,0.00160575,0,0,
427.00,50,50,278.827,61.6342,0,0,0,0,93.3446,687.185,0,0,5.3461e+08,1.42051e+09,0,0,141758,367934,0,0,1.58222e+06,2.41059e+06,0,0,1518.65,535.422,0,0,903.326,1261.62,0,0,0.000531124,0.00163962,0,0,
449.00,50,50,277.965,61.6179,0,0,0,0,91.8973,609.792,0,0,5.37715e+08,1.42848e+09,0,0,140845,352210,0,0,1.61583e+06,2.42414e+06,0,0,1532.64,577.591,0,0,904.437,1304.76,0,0,0.000516254,0.00160716,0,0,
453.00,50,50,277.811,61.6161,0,0,0,0,91.7417,571.34,0,0,5.38278e+08,1.42985e+09,0,0,140749,343471,0,0,1.62196e+06,2.42655e+06,0,0,1534.19,601.167,0,0,904.569,1307.57,0,0,0.000513743,0.00160628,0,0,
456.00,50,50,277.696,61.616,0,0,0,0,91.639,622.561,0,0,5.387e+08,1.43088e+09,0,0,140681,343678,0,0,1.62657e+06,2.4282e+06,0,0,1535.16,552.039,0,0,904.654,1307.1,0,0,0.00051189,0.00160717,0,0,
