TIME,WBHP:A-1H,WBHP:A-2AH,WBHP:A-3H,WBHP:A-5H,WGIR:A-1H,WGIR:A-2AH,WGIR:A-3H,WGIR:A-5H,WGOR:A-1H,WGOR:A-2AH,WGOR:A-3H,WGOR:A-5H,WGPT:A-1H,WGPT:A-2AH,WGPT:A-3H,WGPT:A-5H,WGPR:A-1H,WGPR:A-2AH,WGPR:A-3H,WGPR:A-5H,WOPT:A-1H,WOPT:A-2AH,WOPT:A-3H,WOPT:A-5H,WOPR:A-1H,WOPR:A-2AH,WOPR:A-3H,WOPR:A-5H,WPI1:A-1H,WPI1:A-2AH,WPI1:A-3H,WPI1:A-5H,WWCT:A-1H,WWCT:A-2AH,WWCT:A-3H,WWCT:A-5H,
0.00,306.368,304.148,309.323,304.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.00,50,182.766,305.236,236.716,0,0,0,0,510.035,314.384,0,0,1.87473e+08,1.17864e+08,0,0,1.01738e+07,6.28767e+06,0,0,619744,620000,0,0,19947.2,20000,0,0,623.339,1914.53,0,0,0.000968937,0.000312174,0,0,
59.00,50,92.6226,301.022,173.404,0,0,0,0,628.917,643.221,0,0,3.62407e+08,4.09744e+08,0,0,4.802e+06,1.28644e+07,0,0,926586,1.18e+06,0,0,7635.35,20000,0,0,524.245,1272.14,0,0,0.00125121,0.000870038,0,0,
62.00,50,83.0673,300.627,166.616,0,0,0,0,637.56,665.998,0,0,3.75842e+08,4.49704e+08,0,0,4.47858e+06,1.332e+07,0,0,947659,1.24e+06,0,0,7024.57,20000,0,0,518.529,1211.47,0,0,0.00127473,0.000954291,0,0,
90.00,50,50,297.452,117.243,0,0,0,0,592.296,831.589,0,0,4.55279e+08,7.93332e+08,0,0,1.88498e+06,9.50616e+06,0,0,1.07349e+06,1.69256e+06,0,0,3182.5,11431.3,0,0,503.354,924.948,0,0,0.00141391,0.00144665,0,0,
107.00,50,50,295.933,101.01,0,0,0,0,482.533,884.786,0,0,4.7835e+08,9.23084e+08,0,0,1.10375e+06,6.68394e+06,0,0,1.11711e+06,1.84232e+06,0,0,2287.41,7554.31,0,0,526.942,897.218,0,0,0.00139832,0.00154176,0,0,
121.00,50,50,294.819,91.3693,0,0,0,0,378.201,906.263,0,0,4.90102e+08,1.00157e+09,0,0,726932,5.1289e+06,0,0,1.14547e+06,1.92954e+06,0,0,1922.08,5659.4,0,0,558.872,889.263,0,0,0.00134137,0.00159513,0,0,
135.00,50,50,293.794,84.1595,0,0,0,0,285.959,921.086,0,0,4.9798e+08,1.06262e+09,0,0,494151,4.01907e+06,0,0,1.17045e+06,1.99616e+06,0,0,1728.05,4363.4,0,0,595.069,887.68,0,0,0.00126168,0.00163615,0,0,
136.00,50,50,293.723,83.7192,0,0,0,0,280.01,921.898,0,0,4.98458e+08,1.06657e+09,0,0,478513,3.94935e+06,0,0,1.17216e+06,2.00045e+06,0,0,1708.91,4283.94,0,0,597.918,887.902,0,0,0.0012538,0.00163855,0,0,
151.00,50,50,292.692,78.1784,0,0,0,0,214.043,927.543,0,0,5.04263e+08,1.11753e+09,0,0,345265,3.1068e+06,0,0,1.19688e+06,2.05548e+06,0,0,1613.06,3349.5,0,0,630.413,894.104,0,0,0.0011693,0.00166929,0,0,
