TIME,WBHP:A-1H,WBHP:A-2AH,WBHP:A-3H,WBHP:A-5H,WGIR:A-1H,WGIR:A-2AH,WGIR:A-3H,WGIR:A-5H,WGOR:A-1H,WGOR:A-2AH,WGOR:A-3H,WGOR:A-5H,WGPT:A-1H,WGPT:A-2AH,WGPT:A-3H,WGPT:A-5H,WGPR:A-1H,WGPR:A-2AH,WGPR:A-3H,WGPR:A-5H,WOPT:A-1H,WOPT:A-2AH,WOPT:A-3H,WOPT:A-5H,WOPR:A-1H,WOPR:A-2AH,WOPR:A-3H,WOPR:A-5H,WPI1:A-1H,WPI1:A-2AH,WPI1:A-3H,WPI1:A-5H,WWCT:A-1H,WWCT:A-2AH,WWCT:A-3H,WWCT:A-5H,
0.00,306.368,304.148,309.323,304.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.00,297.073,295.368,309.163,301.21,0,0,0,0,101.234,101.221,0,0,1.73822e+06,1.05519e+06,0,0,56025.1,34040.6,0,0,17150,10425.6,0,0,553.42,336.299,0,0,248.071,102.063,0,0,6.55014e-06,8.00821e-06,0,0,
59.00,273.174,270.921,308.676,291.731,0,0,0,0,100.825,101.316,0,0,7.49109e+06,4.82399e+06,0,0,205215,134639,0,0,74112.1,47640.2,0,0,2035.36,1328.91,0,0,251.764,103.384,0,0,2.71741e-05,3.27159e-05,0,0,
62.00,272.158,269.99,308.618,290.812,0,0,0,0,100.788,101.326,0,0,8.10657e+06,5.22794e+06,0,0,205161,134649,0,0,80218.8,51626.8,0,0,2035.58,1328.86,0,0,251.968,103.466,0,0,2.83105e-05,3.45849e-05,0,0,
90.00,263.55,270.335,308.013,284.073,0,0,0,0,100.394,101.389,0,0,1.42489e+07,7.62307e+06,0,0,219114,85553.4,0,0,141300,75255.3,0,0,2182.54,843.812,0,0,253.465,103.855,0,0,3.8386e-05,4.29389e-05,0,0,
107.00,259.17,255.862,276.72,279.226,0,0,0,0,100.164,101.427,87.3911,0,1.79709e+07,1.02272e+07,2.5997e+06,0,218814,153200,153068,0,178429,100934,29780,0,2184.55,1510.45,1751.53,0,254.261,104.547,72.6743,0,4.48003e-05,6.03323e-05,1.34962e-05,0,
121.00,255.85,252.32,274.84,275.605,0,0,0,0,100.142,101.457,87.5283,0,2.10332e+07,1.23723e+07,4.74473e+06,0,218777,153230,153279,0,209016,122079,54298,0,2184.68,1510.3,1751.19,0,254.998,104.851,72.8289,0,4.97896e-05,6.83662e-05,1.85412e-05,0,
135.00,252.522,260.324,253.149,319.226,0,0,0,0,100.546,101.475,87.6315,0,2.44868e+07,1.38751e+07,8.35242e+06,0,245583,107346,257778,0,243147,136889,95482.5,0,2442.5,1057.86,2941.61,0,254.86,104.553,73.1681,132.741,5.33222e-05,5.88337e-05,3.44063e-05,0,
136.00,252.465,260.447,252.978,320.553,0,0,0,0,100.394,101.475,87.6359,0,2.47321e+07,1.39825e+07,8.61021e+06,0,245322,107346,257790,0,245590,137947,98424.1,0,2443.6,1057.86,2941.6,0,254.907,104.542,73.178,128.452,5.33485e-05,5.84967e-05,3.46407e-05,0,
151.00,252.409,261.763,250.993,319.096,0,0,0,0,99.3363,101.475,87.6523,0,2.83914e+07,1.55926e+07,1.24777e+07,0,243501,107346,257834,0,282331,153815,142547,0,2451.28,1057.86,2941.56,0,254.909,104.435,73.2969,140.657,5.29296e-05,5.48144e-05,4.027e-05,0,
