TIME,FGOR,FGPR,FGPT,FOPR,FOPT,FWCT,
0.00,0,0,0,0,0,0,
31.00,276.427,7.03496e+06,2.19982e+08,25449.6,1.03083e+06,0.000526407,
59.00,351.196,6.34071e+06,4.02105e+08,18054.6,1.61005e+06,0.000652802,
62.00,361.809,6.33067e+06,4.21097e+08,17497.3,1.66254e+06,0.000665867,
90.00,457.426,6.09744e+06,5.95844e+08,13329.9,2.08056e+06,0.000783901,
107.00,496.864,5.71776e+06,6.9557e+08,11507.7,2.28704e+06,0.000846583,
121.00,518.522,5.34523e+06,7.72182e+08,10308.6,2.43671e+06,0.000890778,
135.00,531.914,4.95294e+06,8.4336e+08,9311.53,2.57154e+06,0.000928828,
136.00,532.691,4.92472e+06,8.48284e+08,9244.98,2.58078e+06,0.00093137,
151.00,538.787,4.51456e+06,9.18259e+08,8379.11,2.71107e+06,0.000964221,
175.00,539.197,3.92471e+06,1.01793e+09,7278.81,2.8958e+06,0.00100646,
182.00,538.151,3.76911e+06,1.04458e+09,7003.81,2.9453e+06,0.00101686,
212.00,530.723,3.19366e+06,1.14729e+09,6017.56,3.13747e+06,0.00105255,
234.00,520.142,2.8421e+06,1.21279e+09,5464.09,3.26229e+06,0.00106981,
243.00,511.276,2.70272e+06,1.23739e+09,5286.23,3.31031e+06,0.0010723,
274.00,495.824,2.35289e+06,1.31476e+09,4745.42,3.46425e+06,0.0010883,
294.00,483.765,2.16339e+06,1.35941e+09,4471.99,3.55567e+06,0.00109385,
304.00,477.61,2.07791e+06,1.3804e+09,4350.64,3.59947e+06,0.00109574,
335.00,459.359,1.84607e+06,1.44056e+09,4018.79,3.72829e+06,0.0010997,
349.00,451.916,1.75576e+06,1.46556e+09,3885.14,3.7833e+06,0.00110099,
360.00,446.4,1.68969e+06,1.48438e+09,3785.15,3.82529e+06,0.00110174,
365.00,443.899,1.66096e+06,1.49268e+09,3741.75,3.844e+06,0.00110205,
372.00,440.443,1.6216e+06,1.5041e+09,3681.74,3.86987e+06,0.00110233,
396.00,428.813,1.49656e+06,1.5412e+09,3490.01,3.95543e+06,0.00110743,
422.00,414.479,1.37181e+06,1.57818e+09,3309.73,4.04335e+06,0.00111416,
426.00,412.187,1.35395e+06,1.5836e+09,3284.8,4.05649e+06,0.00111503,
427.00,411.646,1.34945e+06,1.58495e+09,3278.17,4.05977e+06,0.00111518,
449.00,399.53,1.25779e+06,1.61341e+09,3148.18,4.13015e+06,0.00111965,
453.00,397.395,1.24214e+06,1.61837e+09,3125.7,4.14266e+06,0.00112036,
456.00,395.798,1.23052e+06,1.62207e+09,3108.96,4.15198e+06,0.00112086,
486.00,378.946,1.12038e+06,1.65703e+09,2956.58,4.24253e+06,0.00112471,
487.00,378.399,1.11682e+06,1.65815e+09,2951.43,4.24548e+06,0.00112474,
513.00,363.651,1.03209e+06,1.68587e+09,2838.13,4.32047e+06,0.00112624,
517.00,361.594,1.02023e+06,1.68995e+09,2821.49,4.33176e+06,0.00112647,
548.00,346.526,935731,1.72003e+09,2700.32,4.41703e+06,0.0011277,
578.00,333.282,865809,1.74685e+09,2597.83,4.49622e+06,0.00112768,
609.00,319.618,800971,1.77253e+09,2506.03,4.57507e+06,0.00112578,
624.00,312.834,771935,1.78425e+09,2467.56,4.61228e+06,0.00112413,
625.00,312.389,769968,1.78502e+09,2464.77,4.61474e+06,0.00112395,
640.00,305.766,742710,1.79631e+09,2429.02,4.65137e+06,0.0011221,
647.00,302.713,730472,1.80144e+09,2413.09,4.66829e+06,0.00112114,
670.00,292.076,690920,1.81769e+09,2365.55,4.72312e+06,0.00111717,
677.00,289.047,679987,1.82247e+09,2352.52,4.73961e+06,0.0011159,
701.00,279.389,645601,1.83829e+09,2310.76,4.79546e+06,0.00111163,
731.00,267.975,606082,1.85696e+09,2261.72,4.86392e+06,0.00110611,
762.00,255.437,565691,1.87503e+09,2214.6,4.93318e+06,0.00109938,
793.00,241.681,525077,1.89185e+09,2172.61,5.00108e+06,0.00109163,
821.00,228.594,488806,1.90595e+09,2138.32,5.06134e+06,0.00108391,
852.00,214.525,452386,1.92045e+09,2108.79,5.12708e+06,0.00107523,
882.00,201.347,420900,1.93347e+09,2090.41,5.19e+06,0.00106581,
913.00,188.41,392406,1.946e+09,2082.73,5.25464e+06,0.00105562,
943.00,176.796,368529,1.95735e+09,2084.49,5.31713e+06,0.00104587,
974.00,166.802,349345,1.96841e+09,2094.37,5.38192e+06,0.00103565,
1005.00,160.384,337842,1.97902e+09,2106.46,5.44707e+06,0.00102737,
1035.00,154.329,327142,1.98897e+09,2119.77,5.51049e+06,0.00101955,
1066.00,150.113,319612,1.99898e+09,2129.15,5.57638e+06,0.00101306,
1096.00,145.504,311398,2.00842e+09,2140.13,5.64043e+06,0.00100616,
