TIME,FGOR,FGPR,FGPT,FOPR,FOPT,FWCT,
0.00,0,0,0,0,0,0,
31.00,101.23,90066.4,2.7934e+06,889.716,27575.7,7.47555e-06,
59.00,101.022,339862,1.23152e+07,3364.23,121752,3.10408e-05,
62.00,101.004,339818,1.33346e+07,3364.4,131845,3.25913e-05,
90.00,100.673,304669,2.18721e+07,3026.33,216555,4.15448e-05,
107.00,96.2764,524477,3.07893e+07,5447.62,309157,4.20474e-05,
121.00,96.2938,524560,3.81321e+07,5447.49,385426,4.85319e-05,
135.00,94.561,609388,4.66627e+07,6444.39,475648,4.90797e-05,
136.00,94.5102,609156,4.72718e+07,6445.4,482093,4.91906e-05,
151.00,94.1195,607375,5.63889e+07,6453.23,578863,5.1136e-05,
175.00,93.5218,728478,7.38856e+07,7789.4,765751,5.63852e-05,
182.00,93.4563,728113,7.89831e+07,7790.94,820284,5.63112e-05,
212.00,91.4088,846476,1.04395e+08,9260.33,1.09805e+06,0.000177751,
234.00,91.1082,1.06918e+06,1.27971e+08,11735.3,1.3567e+06,0.00416305,
243.00,91.0774,1.06533e+06,1.37568e+08,11697,1.46207e+06,0.00822485,
274.00,92.5664,1.36027e+06,1.79923e+08,14695.1,1.9195e+06,0.0202944,
294.00,92.3342,1.52549e+06,2.10581e+08,16521.4,2.25161e+06,0.0417603,
304.00,92.3758,1.51488e+06,2.25756e+08,16399.1,2.4159e+06,0.0502234,
335.00,92.629,1.44326e+06,2.70831e+08,15581.1,2.90284e+06,0.069134,
349.00,92.3602,1.14117e+06,2.86823e+08,12355.7,3.076e+06,0.0496431,
360.00,92.368,1.13927e+06,2.99361e+08,12334,3.21174e+06,0.0516396,
365.00,92.3711,1.13863e+06,3.05054e+08,12326.6,3.27337e+06,0.0523118,
372.00,92.0099,630394,3.09475e+08,6851.37,3.32142e+06,0.00763267,
396.00,91.9994,631546,3.24621e+08,6864.68,3.48605e+06,0.00531146,
422.00,93.7079,1.55132e+06,3.65059e+08,16554.8,3.91787e+06,0.0697245,
426.00,93.7322,1.54916e+06,3.71255e+08,16527.5,3.98398e+06,0.0715063,
427.00,93.7381,1.54865e+06,3.72804e+08,16521,4.0005e+06,0.0719285,
449.00,93.7102,1.64293e+06,4.09091e+08,17532,4.38804e+06,0.0937627,
453.00,93.8508,1.64172e+06,4.15658e+08,17492.8,4.45801e+06,0.0957699,
456.00,93.902,1.6402e+06,4.20579e+08,17467.1,4.51041e+06,0.0972149,
486.00,94.6389,1.84778e+06,4.76225e+08,19524.5,5.09943e+06,0.105416,
487.00,94.6518,1.84723e+06,4.78072e+08,19516.1,5.11895e+06,0.105847,
513.00,94.2882,1.81597e+06,5.25476e+08,19259.8,5.62233e+06,0.118931,
517.00,94.3337,1.81325e+06,5.32729e+08,19221.6,5.69922e+06,0.120892,
548.00,98.4971,358969,5.43913e+08,3644.46,5.81277e+06,0.047098,
578.00,96.9184,202997,5.50002e+08,2094.51,5.8756e+06,3.2369e-05,
609.00,98.1705,534753,5.6673e+08,5447.18,6.04606e+06,0.0610629,
624.00,98.4472,640418,5.76364e+08,6505.2,6.14394e+06,0.0824362,
625.00,98.4513,640045,5.77004e+08,6501.13,6.15044e+06,0.0831249,
640.00,98.5261,634658,5.86553e+08,6441.53,6.2474e+06,0.0931327,
647.00,98.4187,569145,5.9054e+08,5782.9,6.28792e+06,0.0815998,
670.00,98.3862,559172,6.03512e+08,5683.44,6.4197e+06,0.100907,
677.00,98.9834,643796,6.08027e+08,6504.08,6.46529e+06,0.0912883,
701.00,99.9624,625435,6.2325e+08,6256.7,6.61806e+06,0.130318,
731.00,102.126,660168,6.4373e+08,6464.23,6.81914e+06,0.221338,
762.00,99.0923,103418,6.46957e+08,1043.66,6.85177e+06,0.222961,
793.00,103.678,600984,6.65983e+08,5796.64,7.03981e+06,0.314705,
821.00,98.861,465632,6.79343e+08,4709.97,7.17578e+06,0.369386,
852.00,99.3343,453913,6.93748e+08,4569.55,7.32087e+06,0.409534,
882.00,98.7361,396234,7.0585e+08,4013.06,7.44402e+06,0.439016,
913.00,99.5152,280880,7.14746e+08,2822.49,7.53345e+06,0.456569,
943.00,99.5022,244136,7.22134e+08,2453.57,7.60767e+06,0.471748,
974.00,99.4414,227999,7.2928e+08,2292.79,7.67951e+06,0.470413,
1005.00,99.3995,219350,7.36149e+08,2206.76,7.7486e+06,0.478552,
1035.00,99.4425,205214,7.42387e+08,2063.64,7.81133e+06,0.489517,
1066.00,99.6168,203959,7.48814e+08,2047.43,7.87585e+06,0.509279,
1096.00,99.4519,258210,7.56572e+08,2596.33,7.95384e+06,0.53911,
1127.00,101.451,62587.3,7.58524e+08,616.92,7.97309e+06,0.241369,
1158.00,99.2103,166992,7.63705e+08,1683.21,8.02527e+06,0.366553,
1186.00,98.8123,155290,7.68195e+08,1571.56,8.07072e+06,0.395858,
1217.00,98.468,172049,7.73674e+08,1747.26,8.12636e+06,0.47134,
1247.00,98.164,201572,7.79978e+08,2053.42,8.19061e+06,0.557715,
1250.00,98.8304,235998,7.80686e+08,2387.91,8.19777e+06,0.586857,
1268.00,98.7987,218037,7.84684e+08,2206.88,8.23824e+06,0.621069,
1278.00,98.7841,216346,7.86851e+08,2190.09,8.26017e+06,0.624221,
1308.00,99.1195,234256,7.93801e+08,2363.37,8.33049e+06,0.623142,
1339.00,99.9722,129514,7.9784e+08,1295.5,8.37078e+06,0.622569,
1370.00,99.4292,150403,8.02292e+08,1512.66,8.41551e+06,0.61568,
1400.00,101.71,261522,8.10031e+08,2571.25,8.49223e+06,0.606564,
1431.00,100.413,211544,8.16839e+08,2106.74,8.55889e+06,0.629654,
1461.00,99.9908,213110,8.23284e+08,2131.3,8.62295e+06,0.63569,
1492.00,102.476,226761,8.30257e+08,2212.82,8.69155e+06,0.633012,
1523.00,102.713,221116,8.37131e+08,2152.76,8.7585e+06,0.641372,
1551.00,100.62,214715,8.43177e+08,2133.91,8.8186e+06,0.646398,
1582.00,99.7737,203180,8.49502e+08,2036.41,8.88251e+06,0.653214,
1612.00,102.273,220287,8.5616e+08,2153.92,8.94776e+06,0.664043,
1643.00,103.913,228527,8.63294e+08,2199.21,9.01695e+06,0.676068,
1673.00,103.632,219570,8.69945e+08,2118.75,9.08143e+06,0.683999,
1704.00,101.37,188946,8.75972e+08,1863.92,9.1401e+06,0.6766,
1735.00,95.9944,107108,8.79319e+08,1115.77,9.17516e+06,0.639252,
