TIME,FGOR,FGPR,FGPT,FOPR,FOPT,FWCT,
0.00,0,0,0,0,0,0,
31.00,101.229,90065.6,2.79341e+06,889.719,27575.6,7.10127e-06,
59.00,101.019,339854,1.23151e+07,3364.27,121752,2.93631e-05,
62.00,101,339810,1.33345e+07,3364.44,131846,3.07888e-05,
90.00,100.672,304668,2.18719e+07,3026.35,216556,3.96555e-05,
107.00,96.4067,525082,3.07978e+07,5446.53,309143,3.90411e-05,
121.00,96.4506,525286,3.81503e+07,5446.17,385394,4.48938e-05,
135.00,94.8014,610707,4.67143e+07,6441.96,475519,4.55898e-05,
136.00,94.7468,610459,4.73247e+07,6443.05,481962,4.56527e-05,
151.00,94.359,608681,5.64617e+07,6450.69,578693,4.74659e-05,
175.00,93.737,729887,7.39947e+07,7786.55,765509,5.18193e-05,
182.00,93.6611,729451,7.91017e+07,7788.19,820024,5.17219e-05,
212.00,91.6429,848380,1.04574e+08,9257.45,1.09767e+06,4.33111e-05,
234.00,91.1967,1.07368e+06,1.28212e+08,11773.3,1.35663e+06,5.69893e-05,
243.00,91.1258,1.07304e+06,1.37871e+08,11775.4,1.4626e+06,6.24557e-05,
274.00,92.4768,1.38046e+06,1.80714e+08,14927.6,1.92578e+06,0.00168381,
294.00,92.2623,1.5434e+06,2.11812e+08,16728.4,2.26297e+06,0.0274047,
304.00,92.2964,1.53283e+06,2.27166e+08,16607.7,2.42935e+06,0.0358065,
335.00,92.5241,1.46238e+06,2.72802e+08,15805.3,2.92284e+06,0.0532045,
349.00,92.2586,1.15595e+06,2.88984e+08,12529.4,3.09824e+06,0.0336914,
360.00,92.2623,1.15432e+06,3.01688e+08,12511.3,3.23594e+06,0.0353745,
365.00,92.2656,1.15352e+06,3.07456e+08,12502.1,3.29845e+06,0.0362196,
372.00,91.9336,632221,3.11881e+08,6876.93,3.34658e+06,0.00329787,
396.00,91.9342,632206,3.27056e+08,6876.73,3.51165e+06,0.00332099,
422.00,93.6494,1.56542e+06,3.67874e+08,16715.7,3.94781e+06,0.0588949,
426.00,93.6704,1.56369e+06,3.74129e+08,16693.6,4.01459e+06,0.06034,
427.00,93.6757,1.56324e+06,3.75692e+08,16687.8,4.03127e+06,0.0607204,
449.00,93.7008,1.66307e+06,4.12383e+08,17748.8,4.42337e+06,0.0802047,
453.00,93.758,1.6607e+06,4.19026e+08,17712.6,4.49422e+06,0.0822874,
456.00,93.7823,1.65871e+06,4.24002e+08,17686.9,4.54728e+06,0.083824,
486.00,94.668,1.86547e+06,4.8023e+08,19705.4,5.14228e+06,0.095268,
487.00,94.6773,1.86469e+06,4.82095e+08,19695.2,5.16198e+06,0.0958058,
513.00,94.288,1.82815e+06,5.29858e+08,19389,5.66917e+06,0.11178,
517.00,94.3335,1.82497e+06,5.37158e+08,19346,5.74656e+06,0.114012,
548.00,98.4556,359376,5.48348e+08,3650.14,5.86019e+06,0.0454156,
578.00,96.8886,202953,5.54436e+08,2094.7,5.92303e+06,3.30644e-05,
609.00,98.1121,538445,5.71221e+08,5488.06,6.09416e+06,0.0526196,
624.00,98.3772,649323,5.80972e+08,6600.34,6.1933e+06,0.0662385,
625.00,98.3812,649168,5.81621e+08,6598.49,6.1999e+06,0.066547,
640.00,98.5653,646482,5.91332e+08,6558.92,6.29857e+06,0.0727959,
647.00,98.435,576922,5.95374e+08,5860.95,6.33965e+06,0.0663745,
670.00,98.4389,562888,6.08471e+08,5718.15,6.47268e+06,0.0940619,
677.00,98.9991,643257,6.12988e+08,6497.6,6.51829e+06,0.0923438,
701.00,99.843,611087,6.2801e+08,6120.48,6.66904e+06,0.153519,
731.00,102.013,645920,6.47996e+08,6331.73,6.86549e+06,0.240626,
762.00,98.9577,103898,6.51227e+08,1049.93,6.89821e+06,0.21772,
793.00,103.634,596606,6.70101e+08,5756.86,7.08446e+06,0.320317,
821.00,98.9746,464824,6.83459e+08,4696.39,7.22022e+06,0.37131,
852.00,99.556,454774,6.97863e+08,4568.02,7.36514e+06,0.409469,
882.00,98.843,396410,7.09985e+08,4010.5,7.48834e+06,0.439295,
913.00,99.8089,280329,7.18911e+08,2808.66,7.57763e+06,0.459257,
943.00,99.6235,243402,7.26303e+08,2443.22,7.65176e+06,0.474135,
974.00,99.4927,223859,7.3334e+08,2250,7.72244e+06,0.481496,
1005.00,99.4195,213536,7.4004e+08,2147.83,7.78982e+06,0.494176,
1035.00,99.4416,198648,7.46086e+08,1997.63,7.85061e+06,0.507811,
1066.00,99.603,196782,7.52295e+08,1975.66,7.91294e+06,0.52848,
1096.00,99.4201,251460,7.59861e+08,2529.27,7.98902e+06,0.55234,
1127.00,101.562,49176.2,7.61395e+08,484.199,8.00414e+06,0.42795,
1158.00,99.0325,153947,7.66147e+08,1554.51,8.05208e+06,0.422031,
1186.00,98.6145,140412,7.70181e+08,1423.85,8.09299e+06,0.460282,
1217.00,98.2701,156995,7.75188e+08,1597.59,8.14394e+06,0.52201,
1247.00,97.9711,185930,7.81e+08,1897.81,8.20327e+06,0.594609,
1250.00,98.8047,241384,7.81724e+08,2443.05,8.2106e+06,0.576357,
1268.00,98.7059,212026,7.85621e+08,2148.06,8.25008e+06,0.632115,
1278.00,98.7053,211112,7.87733e+08,2138.81,8.27148e+06,0.633841,
1308.00,99.0215,230809,7.94568e+08,2330.89,8.34068e+06,0.62884,
1339.00,99.9389,132252,7.98734e+08,1323.33,8.38227e+06,0.613707,
1370.00,99.7954,152416,8.03242e+08,1527.28,8.42754e+06,0.611403,
1400.00,102.012,261173,8.11001e+08,2560.22,8.50397e+06,0.608244,
1431.00,100.082,211489,8.17826e+08,2113.16,8.57089e+06,0.628596,
1461.00,99.9489,213309,8.24289e+08,2134.18,8.63512e+06,0.635174,
1492.00,102.91,226975,8.31264e+08,2205.57,8.70352e+06,0.634106,
1523.00,103.174,221957,8.38184e+08,2151.29,8.77051e+06,0.641415,
1551.00,100.909,214666,8.44236e+08,2127.33,8.83049e+06,0.647449,
1582.00,99.5536,201704,8.50512e+08,2026.08,8.8941e+06,0.655221,
1612.00,102.32,219152,8.57132e+08,2141.84,8.95899e+06,0.666068,
1643.00,103.948,227352,8.64222e+08,2187.17,9.02778e+06,0.677977,
1673.00,103.68,218132,8.70812e+08,2103.89,9.0918e+06,0.686377,
1704.00,101.653,186131,8.76736e+08,1831.05,9.14942e+06,0.682652,
1735.00,95.8703,103480,8.79968e+08,1079.38,9.18337e+06,0.652025,
1765.00,102.566,164461,8.84933e+08,1603.46,9.23151e+06,0.664167,
1796.00,100.254,154706,8.89774e+08,1543.14,9.27983e+06,0.672062,
1826.00,96.6824,140334,8.93987e+08,1451.5,9.32347e+06,0.673838,
1849.00,96.7605,145699,8.97345e+08,1505.77,9.35804e+06,0.67121,
1857.00,96.6553,145757,8.98511e+08,1508.01,9.3701e+06,0.670727,
1888.00,101.543,161392,9.03475e+08,1589.39,9.41896e+06,0.669181,
1917.00,97.4485,141405,9.07582e+08,1451.07,9.4609e+06,0.66914,
1948.00,95.1896,137021,9.11822e+08,1439.45,9.50566e+06,0.668755,
1978.00,95.7475,140085,9.16e+08,1463.06,9.54946e+06,0.66915,
2009.00,94.6004,145844,9.20658e+08,1541.68,9.59785e+06,0.669078,
2039.00,95.4107,88323.7,9.23343e+08,925.721,9.62612e+06,0.654843,
2070.00,95.8048,133401,9.27412e+08,1392.42,9.66865e+06,0.662643,
2101.00,100.043,54548.7,9.29154e+08,545.25,9.68604e+06,0.794957,
2131.00,99.888,58528.1,9.30912e+08,585.937,9.70364e+06,0.811351,
2145.00,96.8826,123043,9.32618e+08,1270.02,9.72121e+06,0.696449,
2162.00,97.1474,124083,9.34721e+08,1277.27,9.7429e+06,0.694496,
2192.00,95.8962,155953,9.39855e+08,1626.27,9.79656e+06,0.662951,
2223.00,96.4115,139736,9.44397e+08,1449.37,9.84381e+06,0.676329,
2254.00,96.4536,116719,9.48153e+08,1210.1,9.88282e+06,0.70472,
2282.00,96.3552,120502,9.51615e+08,1250.6,9.91874e+06,0.689398,
2313.00,129.51,309216,9.60922e+08,2387.59,9.99593e+06,0.622009,
2343.00,101.027,195318,9.67389e+08,1933.32,1.00567e+07,0.547344,
2374.00,101.591,208843,9.74207e+08,2055.73,1.01219e+07,0.615613,
2404.00,97.608,165647,9.79285e+08,1697.07,1.01741e+07,0.6602,
2435.00,100.141,210872,9.86035e+08,2105.74,1.02406e+07,0.67699,
2466.00,98.938,204286,9.92505e+08,2064.79,1.03055e+07,0.697434,
2496.00,96.2889,155597,9.97273e+08,1615.94,1.03552e+07,0.575113,
2527.00,97.371,130352,1.00138e+09,1338.72,1.03974e+07,0.585268,
2557.00,94.8495,101687,1.00445e+09,1072.09,1.04298e+07,0.610303,
2588.00,96.3613,106133,1.00778e+09,1101.4,1.04645e+07,0.617347,
2619.00,96.7438,98697.5,1.01085e+09,1020.19,1.04964e+07,0.628439,
2647.00,99.1676,95888.8,1.01356e+09,966.937,1.05238e+07,0.622288,
2678.00,100.036,110426,1.01702e+09,1103.86,1.05583e+07,0.63496,
2708.00,99.3481,108251,1.02031e+09,1089.62,1.05912e+07,0.640759,
2731.00,96.7427,89223.1,1.02236e+09,922.272,1.06125e+07,0.653787,
2739.00,96.8742,89322.4,1.02307e+09,922.046,1.06199e+07,0.653819,
2769.00,103.89,54623.1,1.02484e+09,525.779,1.06359e+07,0.651974,
