TIME,FGOR,FGPR,FGPT,FOPR,FOPT,FWCT,
0.00,0,0,0,0,0,0,
31.00,96.0893,1.00894e+06,3.13118e+07,10500,325500,2.48589e-05,
59.00,95.8162,1.00607e+06,5.95167e+07,10500,619500,3.56505e-05,
62.00,96.2737,1.01087e+06,6.25494e+07,10500,651000,3.67862e-05,
90.00,96.785,1.01624e+06,9.09557e+07,10500,945000,4.65326e-05,
107.00,97.9007,1.02796e+06,1.08328e+08,10500,1.1235e+06,5.25985e-05,
121.00,98.4608,1.03384e+06,1.22783e+08,10500,1.2705e+06,5.78424e-05,
135.00,98.9558,1.03904e+06,1.37301e+08,10500,1.4175e+06,6.38442e-05,
136.00,98.9796,1.03929e+06,1.3834e+08,10500,1.428e+06,6.43001e-05,
151.00,99.5915,1.04571e+06,1.53986e+08,10500,1.5855e+06,7.28691e-05,
175.00,100.71,1.05745e+06,1.79249e+08,10500,1.8375e+06,9.71033e-05,
182.00,101.238,1.06299e+06,1.86681e+08,10500,1.911e+06,0.000108232,
212.00,103.575,1.08754e+06,2.18983e+08,10500,2.226e+06,0.000321902,
234.00,105.338,1.10605e+06,2.43158e+08,10500,2.457e+06,0.00072132,
243.00,106.039,1.11341e+06,2.53162e+08,10500,2.5515e+06,0.000929845,
274.00,108.545,1.13972e+06,2.88139e+08,10500,2.877e+06,0.0017046,
294.00,110.137,1.15644e+06,3.11141e+08,10500,3.087e+06,0.00214926,
304.00,110.95,1.16498e+06,3.22768e+08,10500,3.192e+06,0.00233779,
335.00,113.79,1.1948e+06,3.59404e+08,10500,3.5175e+06,0.00285821,
349.00,115.177,1.20936e+06,3.76267e+08,10500,3.6645e+06,0.00306261,
360.00,116.238,1.2205e+06,3.89653e+08,10500,3.78e+06,0.00321391,
365.00,116.718,1.22554e+06,3.95781e+08,10500,3.8325e+06,0.00328289,
372.00,117.366,1.23234e+06,4.04395e+08,10500,3.906e+06,0.00337731,
396.00,119.665,1.25649e+06,4.3431e+08,10500,4.158e+06,0.00369355,
422.00,124.767,1.31006e+06,4.67678e+08,10500,4.431e+06,0.0040422,
426.00,126.122,1.32429e+06,4.72975e+08,10500,4.473e+06,0.00409595,
427.00,126.47,1.32793e+06,4.74303e+08,10500,4.4835e+06,0.00410804,
449.00,134.559,1.41287e+06,5.04641e+08,10500,4.7145e+06,0.00439824,
453.00,136.064,1.42867e+06,5.10356e+08,10500,4.7565e+06,0.00445084,
456.00,137.243,1.44105e+06,5.14679e+08,10500,4.788e+06,0.0044904,
486.00,149.468,1.56941e+06,5.60164e+08,10500,5.103e+06,0.0048781,
487.00,149.874,1.57367e+06,5.61738e+08,10500,5.1135e+06,0.00488894,
513.00,160.795,1.68835e+06,6.04398e+08,10500,5.3865e+06,0.00522085,
517.00,162.492,1.70616e+06,6.11223e+08,10500,5.4285e+06,0.00526772,
548.00,175.587,1.84366e+06,6.66578e+08,10500,5.754e+06,0.00560334,
578.00,187.592,1.96972e+06,7.24112e+08,10500,6.069e+06,0.00589908,
609.00,200.646,2.10678e+06,7.87585e+08,10500,6.3945e+06,0.00618713,
624.00,207.33,2.17696e+06,8.19883e+08,10500,6.552e+06,0.00632036,
625.00,207.798,2.18187e+06,8.22065e+08,10500,6.5625e+06,0.00632525,
640.00,214.781,2.2552e+06,8.55485e+08,10500,6.72e+06,0.00645941,
647.00,218.025,2.28926e+06,8.7145e+08,10500,6.7935e+06,0.00652085,
670.00,228.781,2.4022e+06,9.25654e+08,10500,7.035e+06,0.00672015,
677.00,232.045,2.43648e+06,9.42649e+08,10500,7.1085e+06,0.0067815,
701.00,243.372,2.5554e+06,1.00283e+09,10500,7.3605e+06,0.00699261,
731.00,257.089,2.69943e+06,1.08203e+09,10500,7.6755e+06,0.00726245,
762.00,270.845,2.84388e+06,1.16833e+09,10500,8.001e+06,0.00754262,
793.00,284.147,2.98354e+06,1.259e+09,10500,8.3265e+06,0.0077974,
821.00,295.793,3.10583e+06,1.34454e+09,10500,8.6205e+06,0.00797182,
852.00,307.248,3.2261e+06,1.44302e+09,10500,8.946e+06,0.00814317,
882.00,316.754,3.32592e+06,1.54159e+09,10500,9.261e+06,0.00831029,
913.00,324.334,3.4055e+06,1.64618e+09,10500,9.5865e+06,0.00848449,
943.00,329.182,3.45641e+06,1.74933e+09,10500,9.9015e+06,0.00866262,
974.00,330.964,3.47513e+06,1.85688e+09,10500,1.0227e+07,0.00887066,
1005.00,325.501,3.40371e+06,1.96439e+09,10456.8,1.05524e+07,0.00914231,
1035.00,297.108,2.9277e+06,2.05877e+09,9853.97,1.08571e+07,0.00985009,
1066.00,266.675,2.50853e+06,2.14166e+09,9406.68,1.11538e+07,0.0104732,
1096.00,244.486,2.23473e+06,2.21192e+09,9140.53,1.14312e+07,0.0109446,
1127.00,226.158,2.01721e+06,2.2772e+09,8919.48,1.17105e+07,0.0113544,
1158.00,210.995,1.84344e+06,2.33656e+09,8736.89,1.19837e+07,0.0117141,
1186.00,198.982,1.711e+06,2.38596e+09,8598.76,1.2226e+07,0.0120156,
1217.00,187.052,1.5847e+06,2.43671e+09,8471.99,1.24902e+07,0.0123273,
1247.00,177.47,1.48523e+06,2.48246e+09,8368.94,1.27426e+07,0.0126129,
1250.00,176.604,1.47627e+06,2.48689e+09,8359.19,1.27676e+07,0.0126415,
1268.00,171.657,1.42561e+06,2.51288e+09,8304.99,1.29175e+07,0.0128197,
1278.00,169.094,1.39954e+06,2.52694e+09,8276.73,1.30003e+07,0.0129219,
1308.00,161.948,1.32788e+06,2.56765e+09,8199.41,1.32472e+07,0.013239,
1339.00,155.19,1.26228e+06,2.60762e+09,8133.82,1.35002e+07,0.0136303,
1370.00,149.26,1.20586e+06,2.64573e+09,8078.9,1.37514e+07,0.0141106,
1400.00,143.734,1.15516e+06,2.68101e+09,8036.78,1.3993e+07,0.0146244,
1431.00,138.688,1.10989e+06,2.716e+09,8002.78,1.42415e+07,0.0152079,
1461.00,134.238,1.07036e+06,2.7486e+09,7973.61,1.44811e+07,0.0158842,
1492.00,129.759,1.03086e+06,2.78107e+09,7944.44,1.47277e+07,0.0167154,
1523.00,125.583,994550,2.81237e+09,7919.45,1.49736e+07,0.0176345,
1551.00,122.055,964295,2.83972e+09,7900.47,1.5195e+07,0.0185522,
1582.00,118.462,934242,2.86907e+09,7886.4,1.54396e+07,0.0195965,
1612.00,115.381,909296,2.89666e+09,7880.83,1.56761e+07,0.0206839,
1643.00,112.534,887055,2.92444e+09,7882.57,1.59204e+07,0.0217686,
1673.00,110.115,868911,2.95073e+09,7890.92,1.6157e+07,0.0228777,
1704.00,108.028,854049,2.97739e+09,7905.8,1.64019e+07,0.0241857,
1735.00,106.625,844810,3.00369e+09,7923.17,1.66473e+07,0.0255891,
1765.00,105.622,838309,3.02892e+09,7936.9,1.68853e+07,0.0270622,
1796.00,104.832,833287,3.05481e+09,7948.78,1.71315e+07,0.0285303,
1826.00,104.299,829889,3.07975e+09,7956.84,1.73701e+07,0.0299538,
1849.00,103.667,825710,3.09879e+09,7965.04,1.75532e+07,0.0310164,
1857.00,103.393,823907,3.10538e+09,7968.71,1.7617e+07,0.0313774,
1888.00,102.72,819755,3.13084e+09,7980.52,1.78642e+07,0.032782,
1917.00,102.374,817966,3.15459e+09,7990,1.80958e+07,0.0341185,
1948.00,102.499,820216,3.17998e+09,8002.17,1.83437e+07,0.0357558,
1978.00,102.571,822003,3.20462e+09,8013.99,1.8584e+07,0.0373033,
2009.00,102.485,822565,3.23012e+09,8026.21,1.88327e+07,0.0389188,
2039.00,102.334,822495,3.25479e+09,8037.37,1.90736e+07,0.0405356,
2070.00,102.119,821901,3.28028e+09,8048.48,1.9323e+07,0.0422066,
2101.00,101.82,820652,3.30574e+09,8059.81,1.95727e+07,0.0439081,
2131.00,101.505,819360,3.33034e+09,8072.15,1.98147e+07,0.0455674,
2145.00,101.375,818924,3.34181e+09,8078.14,1.99278e+07,0.0463464,
2162.00,101.307,819060,3.35573e+09,8084.92,2.00652e+07,0.0472707,
2192.00,101.25,819630,3.38031e+09,8095.13,2.03079e+07,0.0488557,
2223.00,101.135,819960,3.40572e+09,8107.57,2.05591e+07,0.0504108,
2254.00,101.42,823450,3.4312e+09,8119.18,2.08106e+07,0.0519489,
2282.00,101.411,824300,3.45428e+09,8128.35,2.10381e+07,0.0532721,
2313.00,101.351,824760,3.47984e+09,8137.65,2.12903e+07,0.0547014,
2343.00,101.484,826689,3.50461e+09,8146.04,2.15345e+07,0.0560757,
2374.00,101.705,829372,3.53029e+09,8154.71,2.17872e+07,0.0574529,
2404.00,101.931,832053,3.55522e+09,8162.89,2.2032e+07,0.058805,
2435.00,102.108,834286,3.58105e+09,8170.65,2.22852e+07,0.0602103,
2466.00,102.342,837001,3.60696e+09,8178.5,2.25386e+07,0.0615842,
2496.00,102.611,839998,3.63212e+09,8186.22,2.27841e+07,0.0628533,
2527.00,102.868,842888,3.65821e+09,8193.91,2.3038e+07,0.0641239,
2557.00,103.079,845379,3.68355e+09,8201.25,2.3284e+07,0.0653404,
2588.00,103.374,848664,3.7098e+09,8209.65,2.35384e+07,0.0665499,
2619.00,104.215,856469,3.73625e+09,8218.31,2.3793e+07,0.067975,
2647.00,104.787,861991,3.76033e+09,8226.11,2.40233e+07,0.0692577,
2678.00,105.477,868837,3.78717e+09,8237.24,2.42785e+07,0.070625,
2708.00,106.254,876452,3.81337e+09,8248.63,2.45258e+07,0.0718661,
2731.00,106.82,882158,3.8336e+09,8258.37,2.47156e+07,0.0727721,
2739.00,107.062,884474,3.84067e+09,8261.3,2.47817e+07,0.0730886,
2769.00,108.197,894746,3.86738e+09,8269.59,2.50297e+07,0.074262,
2800.00,111.07,919120,3.89551e+09,8275.12,2.52862e+07,0.0755063,
2831.00,114.501,947978,3.92453e+09,8279.23,2.55428e+07,0.0767531,
2861.00,116.718,966760,3.95331e+09,8282.9,2.57912e+07,0.0779097,
2892.00,118.527,982118,3.98356e+09,8286.04,2.6048e+07,0.0790688,
2922.00,120.379,997756,4.0133e+09,8288.42,2.62967e+07,0.0802186,
2953.00,122.96,1.01935e+06,4.04462e+09,8290.08,2.65536e+07,0.0814431,
2984.00,125.533,1.04077e+06,4.07661e+09,8290.85,2.68107e+07,0.0827292,
3012.00,127.905,1.06047e+06,4.10607e+09,8291.11,2.70428e+07,0.0839682,
3043.00,130.494,1.08189e+06,4.13932e+09,8290.75,2.72998e+07,0.0854025,
3073.00,133.038,1.1029e+06,4.17215e+09,8290.1,2.75485e+07,0.0869224,
3104.00,135.629,1.12428e+06,4.20672e+09,8289.4,2.78055e+07,0.0885776,
