TIME,FGOR,FGPR,FGPT,FOPR,FOPT,FWCT,
9315.00,165.172,72656.6,1.86904e+09,439.885,1.70578e+07,0.824046,
9528.00,105.148,89936.4,1.88823e+09,855.33,1.72318e+07,0.657868,
9679.00,103.004,88250.5,1.90167e+09,856.767,1.73612e+07,0.657293,
9893.00,100.676,91355.6,1.9207e+09,907.421,1.75482e+07,0.637031,
10258.00,98.1788,100940,1.956e+09,1028.12,1.7904e+07,0.588752,
10623.00,96.9961,102220,1.99325e+09,1053.86,1.82862e+07,0.578455,
10989.00,101.04,105924,2.03132e+09,1048.33,1.86711e+07,0.580667,
11354.00,101.448,105266,2.06983e+09,1037.64,1.90509e+07,0.584944,
11719.00,100.944,101225,2.10748e+09,1002.79,1.94229e+07,0.598885,
12084.00,99.9195,96398.6,2.14358e+09,964.763,1.9782e+07,0.614095,
12450.00,97.7315,90077.9,2.17765e+09,921.687,2.01271e+07,0.631325,
12815.00,95.9871,84020.1,2.20938e+09,875.327,2.04547e+07,0.649869,
13180.00,94.9725,77378.5,2.23872e+09,814.746,2.07619e+07,0.674101,
13545.00,94.7777,72560.9,2.26599e+09,765.59,2.10498e+07,0.693764,
13911.00,94.4804,67971.8,2.29165e+09,719.428,2.13211e+07,0.712229,
