TIME,WBHP:A-1H,WBHP:A-2AH,WBHP:A-3H,WBHP:A-5H,WGIR:A-1H,WGIR:A-2AH,WGIR:A-3H,WGIR:A-5H,WGOR:A-1H,WGOR:A-2AH,WGOR:A-3H,WGOR:A-5H,WGPT:A-1H,WGPT:A-2AH,WGPT:A-3H,WGPT:A-5H,WGPR:A-1H,WGPR:A-2AH,WGPR:A-3H,WGPR:A-5H,WOPT:A-1H,WOPT:A-2AH,WOPT:A-3H,WOPT:A-5H,WOPR:A-1H,WOPR:A-2AH,WOPR:A-3H,WOPR:A-5H,WPI1:A-1H,WPI1:A-2AH,WPI1:A-3H,WPI1:A-5H,WWCT:A-1H,WWCT:A-2AH,WWCT:A-3H,WWCT:A-5H,
0.00,306.368,304.148,309.323,304.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.00,296.283,295.867,309.319,300.827,0,0,0,0,101.229,101.222,0,0,1.73831e+06,1.05513e+06,0,0,56022.8,34040.8,0,0,17149.6,10425.8,0,0,553.428,336.297,0,0,248.241,146.992,0,0,7.39708e-06,1.01027e-05,0,0,
59.00,270.531,273.142,309.319,290.454,0,0,0,0,100.782,101.355,0,0,7.49045e+06,4.82464e+06,0,0,205153,134675,0,0,74114.6,47637.2,0,0,2035.61,1328.74,0,0,252.307,149.008,0,0,3.08657e-05,4.18346e-05,0,0,
62.00,269.311,272.059,309.326,289.395,0,0,0,0,100.74,101.368,0,0,8.10573e+06,5.2287e+06,0,0,205093,134687,0,0,80222.2,51623.3,0,0,2035.86,1328.69,0,0,252.55,149.142,0,0,3.23365e-05,4.43823e-05,0,0,
90.00,259.104,269.633,309.326,281.314,0,0,0,0,100.27,101.445,0,0,1.42441e+07,7.62463e+06,0,0,218922,85585.7,0,0,141320,75248.1,0,0,2183.33,843.663,0,0,254.323,149.849,0,0,4.51882e-05,5.78369e-05,0,0,
107.00,254.252,256.506,290.404,275.85,0,0,0,0,99.9456,101.501,87.0151,0,1.79619e+07,1.023e+07,2.59154e+06,0,218476,153277,152500,0,178466,100921,29794.9,0,2185.95,1510.1,1752.56,0,255.12,150.876,158.242,0,5.25364e-05,8.12732e-05,1.56111e-05,0,
121.00,250.495,252.558,288.643,271.827,0,0,0,0,103.134,101.832,87.0747,0,2.10792e+07,1.23774e+07,4.72743e+06,0,223334,153624,152594,0,208822,122056,54329.6,0,2165.47,1508.6,1752.45,0,253.776,151.182,158.514,0,5.90501e-05,9.24964e-05,2.0417e-05,0,
135.00,246.378,258.263,275.047,299.484,0,0,0,0,101.691,101.574,87.143,0,2.45726e+07,1.38812e+07,8.31787e+06,0,247538,107417,256540,0,242784,136862,95545.9,0,2434.23,1057.53,2943.9,0,253.769,151.057,159.324,328.664,6.39892e-05,8.42773e-05,3.65559e-05,0,
136.00,246.269,258.355,274.866,300.042,0,0,0,0,101.472,101.573,87.1478,0,2.48197e+07,1.39886e+07,8.57443e+06,0,247165,107417,256554,0,245220,137919,98489.8,0,2435.8,1057.53,2943.89,0,253.826,151.046,159.35,321.96,6.41133e-05,8.39497e-05,3.707e-05,0,
151.00,245.512,259.254,272.692,300.383,0,0,0,0,99.2207,101.555,87.1957,0,2.8487e+07,1.55998e+07,1.2424e+07,0,243299,107403,256678,0,281926,153783,142646,0,2452.1,1057.59,2943.7,0,254.333,150.938,159.669,344.524,6.47381e-05,8.07534e-05,4.34677e-05,0,
175.00,244.124,262.362,262.017,326.611,0,0,0,0,97.6154,101.507,87.2251,0,3.51543e+07,1.85781e+07,2.0261e+07,0,276245,124078,326577,0,349686,183117,232505,0,2829.93,1222.37,3744.07,0,254.582,150.435,160.395,353.979,6.43709e-05,6.792e-05,6.12485e-05,0,
182.00,245.009,263.731,261.212,328.588,0,0,0,0,97.5164,101.49,87.2249,0,3.70869e+07,1.94466e+07,2.25471e+07,0,276047,124064,326577,0,369501,191674,258714,0,2830.78,1222.43,3744.08,0,254.321,150.269,160.496,355.538,6.27476e-05,6.39012e-05,6.38445e-05,0,
212.00,251.545,271.735,257.021,332.583,0,0,0,0,97.122,101.426,87.1992,0,4.49347e+07,2.2583e+07,3.26306e+07,0,261278,104529,336079,0,450166,222590,374335,0,2690.21,1030.6,3854.16,0,252.691,149.455,160.908,374.379,5.43883e-05,4.5535e-05,7.63614e-05,0,
