TIME,WBHP:A-1H,WBHP:A-2AH,WBHP:A-3H,WBHP:A-5H,WBHP:N-1,WBHP:N-3,WBHP:N-4,WGIR:A-1H,WGIR:A-2AH,WGIR:A-3H,WGIR:A-5H,WGIR:N-1,WGIR:N-3,WGIR:N-4,WGOR:A-1H,WGOR:A-2AH,WGOR:A-3H,WGOR:A-5H,WGOR:N-1,WGOR:N-3,WGOR:N-4,WGPT:A-1H,WGPT:A-2AH,WGPT:A-3H,WGPT:A-5H,WGPT:N-1,WGPT:N-3,WGPT:N-4,WGPR:A-1H,WGPR:A-2AH,WGPR:A-3H,WGPR:A-5H,WGPR:N-1,WGPR:N-3,WGPR:N-4,WOPT:A-1H,WOPT:A-2AH,WOPT:A-3H,WOPT:A-5H,WOPT:N-1,WOPT:N-3,WOPT:N-4,WOPR:A-1H,WOPR:A-2AH,WOPR:A-3H,WOPR:A-5H,WOPR:N-1,WOPR:N-3,WOPR:N-4,WPI1:A-1H,WPI1:A-2AH,WPI1:A-3H,WPI1:A-5H,WPI1:N-1,WPI1:N-3,WPI1:N-4,WWCT:A-1H,WWCT:A-2AH,WWCT:A-3H,WWCT:A-5H,WWCT:N-1,WWCT:N-3,WWCT:N-4,
0.00,306.368,304.148,309.323,304.799,306.653,310.717,305.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.00,259.26,269.507,309.31,289.187,298.81,300.423,300.049,0,0,0,0,0,0,0,100.641,101.354,0,0,92.7336,94.442,90.2638,9.38757e+06,4.70946e+06,0,0,5.75968e+06,5.85494e+06,5.59883e+06,301922,152031,0,0,185467,188884,180528,93000,46500,0,0,62000,62000,62000,3000,1500,0,0,2000,2000,2000,253.735,149.259,0,0,1178.56,1338.63,1934.64,4.335e-05,4.90995e-05,0,0,1.16347e-05,1.87635e-05,9.84983e-06,
59.00,247.214,257.664,309.293,277.282,296.713,297.65,298.261,0,0,0,0,0,0,0,103.471,101.477,0,0,92.412,94.2212,90.0859,1.79167e+07,8.96948e+06,0,0,1.0942e+07,1.11369e+07,1.06481e+07,310414,152216,0,0,184824,188442,180172,177000,88500,0,0,118000,118000,118000,3000,1500,0,0,2000,2000,2000,253.593,150.702,0,0,1179.25,1340.12,1936.35,6.05825e-05,7.94673e-05,0,0,1.638e-05,2.71918e-05,1.39726e-05,
62.00,246.128,256.598,309.298,276.166,296.511,297.387,298.077,0,0,0,0,0,0,0,103.821,101.489,0,0,92.3824,94.1941,90.0677,1.88511e+07,9.42618e+06,0,0,1.14963e+07,1.1702e+07,1.11885e+07,311463,152233,0,0,184765,188388,180135,186000,93000,0,0,124000,124000,124000,3000,1500,0,0,2000,2000,2000,253.353,150.83,0,0,1179.34,1340.21,1936.54,6.23286e-05,8.2392e-05,0,0,1.69155e-05,2.80485e-05,1.44185e-05,
90.00,236.65,247.65,309.274,267.051,294.665,295.126,296.415,0,0,0,0,0,0,0,110.055,105.191,0,0,92.1669,93.9434,89.9025,2.78354e+07,1.37308e+07,0,0,1.66623e+07,1.69686e+07,1.62268e+07,330164,157786,0,0,184334,187887,179805,270000,135000,0,0,180000,180000,180000,3000,1500,0,0,2000,2000,2000,248.483,150.171,0,0,1180.25,1340.97,1938.17,7.94193e-05,0.000108895,0,0,2.19452e-05,3.48362e-05,1.86499e-05,
107.00,231.692,242.941,309.251,262.406,293.588,293.918,295.451,0,0,0,0,0,0,0,111.671,110.269,0,0,92.0663,93.8041,89.8246,3.34958e+07,1.64892e+07,0,0,1.97938e+07,2.01597e+07,1.92818e+07,335012,165403,0,0,184133,187608,179649,321000,160500,0,0,214000,214000,214000,3000,1500,0,0,2000,2000,2000,246.102,148.23,0,0,1180.82,1341.3,1939.23,8.8994e-05,0.000124676,0,0,2.59108e-05,3.89332e-05,2.13584e-05,
121.00,227.955,239.337,309.235,258.954,292.744,293.005,294.699,0,0,0,0,0,0,0,113.568,116.308,0,0,91.9949,93.6972,89.7693,3.82367e+07,1.88877e+07,0,0,2.23703e+07,2.27842e+07,2.17959e+07,340705,174463,0,0,183990,187394,179539,363000,181500,0,0,242000,242000,242000,3000,1500,0,0,2000,2000,2000,244.13,146.278,0,0,1181.16,1341.53,1940.08,9.65498e-05,0.000137655,0,0,3.14428e-05,4.22659e-05,2.36849e-05,
135.00,224.411,235.936,309.216,255.76,291.932,292.152,293.987,0,0,0,0,0,0,0,116.592,123.458,0,0,91.9293,93.5973,89.7261,4.30877e+07,2.14292e+07,0,0,2.49449e+07,2.54058e+07,2.43086e+07,349777,185188,0,0,183859,187195,179452,405000,202500,0,0,270000,270000,270000,3000,1500,0,0,2000,2000,2000,241.941,144.225,0,0,1181.21,1341.73,1940.99,0.000104079,0.000150409,0,0,4.19377e-05,4.54349e-05,2.57036e-05,
136.00,224.165,235.722,309.214,255.544,291.875,292.093,293.938,0,0,0,0,0,0,0,116.804,123.979,0,0,91.9246,93.5907,89.7223,4.34382e+07,2.16152e+07,0,0,2.51287e+07,2.5593e+07,2.4488e+07,350412,185968,0,0,183849,187181,179445,408000,204000,0,0,272000,272000,272000,3000,1500,0,0,2000,2000,2000,241.802,144.079,0,0,1181.23,1341.75,1941.06,0.000104607,0.000151304,0,0,4.29045e-05,4.56551e-05,2.58168e-05,
151.00,220.575,232.308,309.193,252.426,291.024,291.237,293.218,0,0,0,0,0,0,0,121.538,132.99,0,0,91.8588,93.4906,89.683,4.88169e+07,2.45275e+07,0,0,2.78852e+07,2.83988e+07,2.71789e+07,364615,199484,0,0,183718,186981,179366,453000,226500,0,0,302000,302000,302000,3000,1500,0,0,2000,2000,2000,239.155,141.769,0,0,1180.46,1341.96,1941.98,0.000112673,0.000164663,0,0,6.67308e-05,4.88403e-05,2.79806e-05,
