TIME,WBHP:A-1H,WBHP:A-2AH,WBHP:A-3H,WBHP:A-5H,WBHP:N-1,WBHP:N-3,WBHP:N-4,WGIR:A-1H,WGIR:A-2AH,WGIR:A-3H,WGIR:A-5H,WGIR:N-1,WGIR:N-3,WGIR:N-4,WGOR:A-1H,WGOR:A-2AH,WGOR:A-3H,WGOR:A-5H,WGOR:N-1,WGOR:N-3,WGOR:N-4,WGPT:A-1H,WGPT:A-2AH,WGPT:A-3H,WGPT:A-5H,WGPT:N-1,WGPT:N-3,WGPT:N-4,WGPR:A-1H,WGPR:A-2AH,WGPR:A-3H,WGPR:A-5H,WGPR:N-1,WGPR:N-3,WGPR:N-4,WOPT:A-1H,WOPT:A-2AH,WOPT:A-3H,WOPT:A-5H,WOPT:N-1,WOPT:N-3,WOPT:N-4,WOPR:A-1H,WOPR:A-2AH,WOPR:A-3H,WOPR:A-5H,WOPR:N-1,WOPR:N-3,WOPR:N-4,WPI1:A-1H,WPI1:A-2AH,WPI1:A-3H,WPI1:A-5H,WPI1:N-1,WPI1:N-3,WPI1:N-4,WWCT:A-1H,WWCT:A-2AH,WWCT:A-3H,WWCT:A-5H,WWCT:N-1,WWCT:N-3,WWCT:N-4,
0.00,306.368,304.148,309.323,304.799,306.653,310.717,305.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31.00,262.159,271.88,308.605,290.347,298.81,300.423,300.049,0,0,0,0,0,0,0,100.688,101.324,0,0,92.7336,94.442,90.2683,9.38956e+06,4.70876e+06,0,0,5.75968e+06,5.85491e+06,5.59893e+06,302064,151986,0,0,185467,188884,180537,93000,46500,0,0,62000,62000,62000,3000,1500,0,0,2000,2000,2000,253.16,148.963,0,0,1178.59,1338.64,1934.68,3.85469e-05,4.34596e-05,0,0,1.15859e-05,1.86564e-05,9.851e-06,
59.00,251.937,261.535,307.834,279.967,296.717,297.656,298.254,0,0,0,0,0,0,0,100.163,101.416,0,0,92.4126,94.2212,90.0954,1.78226e+07,8.96676e+06,0,0,1.09419e+07,1.11369e+07,1.06486e+07,300488,152124,0,0,184825,188442,180191,177000,88500,0,0,118000,118000,118000,3000,1500,0,0,2000,2000,2000,255.058,150.229,0,0,1179.27,1340.13,1936.43,5.22538e-05,6.88193e-05,0,0,1.62496e-05,2.69408e-05,1.39776e-05,
62.00,251.004,260.575,307.746,278.985,296.515,297.393,298.069,0,0,0,0,0,0,0,101.809,101.423,0,0,92.3828,94.1941,90.0785,1.87389e+07,9.42316e+06,0,0,1.14962e+07,1.1702e+07,1.11891e+07,305428,152135,0,0,184766,188388,180157,186000,93000,0,0,124000,124000,124000,3000,1500,0,0,2000,2000,2000,254.479,150.343,0,0,1179.36,1340.23,1936.63,5.37292e-05,7.13955e-05,0,0,1.67805e-05,2.78034e-05,1.44009e-05,
90.00,243.274,252.677,306.889,270.9,294.669,295.131,296.391,0,0,0,0,0,0,0,103.859,101.739,0,0,92.167,93.9434,89.919,2.7411e+07,1.36857e+07,0,0,1.66622e+07,1.69686e+07,1.62282e+07,311576,152608,0,0,184334,187887,179838,270000,135000,0,0,180000,180000,180000,3000,1500,0,0,2000,2000,2000,252.902,151.131,0,0,1180.26,1340.98,1938.33,6.62383e-05,9.31129e-05,0,0,2.18436e-05,3.46261e-05,1.86309e-05,
107.00,239.05,248.62,306.34,266.804,293.592,293.92,295.413,0,0,0,0,0,0,0,107.101,103.48,0,0,92.0666,93.8042,89.8464,3.2793e+07,1.6298e+07,0,0,1.97937e+07,2.01597e+07,1.92839e+07,321303,155220,0,0,184133,187608,179693,321000,160500,0,0,214000,214000,214000,3000,1500,0,0,2000,2000,2000,250.367,150.66,0,0,1180.85,1341.32,1939.44,7.42394e-05,0.000105244,0,0,2.58027e-05,3.86785e-05,2.13644e-05,
121.00,235.876,245.51,305.876,263.743,292.743,293.001,294.645,0,0,0,0,0,0,0,107.972,105.962,0,0,91.9947,93.6969,89.7973,3.73235e+07,1.85064e+07,0,0,2.23702e+07,2.27842e+07,2.17986e+07,323917,158944,0,0,183989,187394,179595,363000,181500,0,0,242000,242000,242000,3000,1500,0,0,2000,2000,2000,248.858,149.612,0,0,1181.2,1341.55,1940.36,8.03655e-05,0.000115041,0,0,3.11742e-05,4.20121e-05,2.36519e-05,
135.00,232.964,242.625,305.407,260.947,291.929,292.145,293.919,0,0,0,0,0,0,0,108.658,108.332,0,0,91.9291,93.5971,89.7564,4.18714e+07,2.07666e+07,0,0,2.49448e+07,2.54058e+07,2.43122e+07,325973,162498,0,0,183858,187194,179513,405000,202500,0,0,270000,270000,270000,3000,1500,0,0,2000,2000,2000,247.523,148.507,0,0,1181.25,1341.76,1941.28,8.61064e-05,0.000124717,0,0,4.15289e-05,4.51814e-05,2.57687e-05,
136.00,232.767,242.435,305.373,260.757,291.871,292.086,293.868,0,0,0,0,0,0,0,108.679,108.476,0,0,91.9242,93.5901,89.7533,4.21974e+07,2.09293e+07,0,0,2.51286e+07,2.5593e+07,2.44917e+07,326036,162714,0,0,183848,187180,179507,408000,204000,0,0,272000,272000,272000,3000,1500,0,0,2000,2000,2000,247.449,148.43,0,0,1181.27,1341.77,1941.36,8.64987e-05,0.000125387,0,0,4.24924e-05,4.54023e-05,2.58864e-05,
151.00,229.897,239.557,304.865,258,291.02,291.227,293.129,0,0,0,0,0,0,0,109.567,111.25,0,0,91.8588,93.4905,89.7176,4.71123e+07,2.34066e+07,0,0,2.78851e+07,2.83988e+07,2.71836e+07,328702,166874,0,0,183718,186981,179435,453000,226500,0,0,302000,302000,302000,3000,1500,0,0,2000,2000,2000,246.072,147.222,0,0,1180.54,1341.98,1942.32,9.23569e-05,0.000135246,0,0,6.59498e-05,4.85884e-05,2.80483e-05,
175.00,225.668,235.337,304.072,253.987,289.682,289.95,292.003,0,0,0,0,0,0,0,111.263,116.078,0,0,91.7618,93.3456,89.6654,5.50722e+07,2.75152e+07,0,0,3.22915e+07,3.28821e+07,3.14885e+07,333790,174118,0,0,183524,186691,179331,525000,262500,0,0,350000,350000,350000,3000,1500,0,0,2000,2000,2000,243.963,145.338,0,0,1175.99,1342.32,1943.81,0.000101389,0.00015006,0,0,0.000160525,5.33057e-05,3.13211e-05,
182.00,224.501,234.207,303.847,252.92,289.298,289.597,291.683,0,0,0,0,0,0,0,112.457,117.489,0,0,91.7365,93.3063,89.6524,5.7428e+07,2.87451e+07,0,0,3.35759e+07,3.41885e+07,3.27437e+07,337371,176233,0,0,183473,186613,179305,546000,273000,0,0,364000,364000,364000,3000,1500,0,0,2000,2000,2000,243.186,144.817,0,0,1173.4,1342.42,1944.24,0.000104016,0.000154082,0,0,0.000209684,5.46126e-05,3.23167e-05,
212.00,219.74,229.673,302.89,248.626,287.683,288.159,290.332,0,0,0,0,0,0,0,117.674,123.836,0,0,91.6431,93.1529,89.5864,6.78072e+07,3.41973e+07,0,0,3.90767e+07,3.97814e+07,3.81205e+07,353022,185754,0,0,183286,186306,179173,636000,318000,0,0,424000,424000,424000,3000,1500,0,0,2000,2000,2000,239.945,142.65,0,0,1154.95,1342.86,1946.02,0.000115158,0.000170479,0,0,0.00129198,5.99505e-05,3.62887e-05,
234.00,216.468,226.602,302.213,245.711,286.53,287.163,289.354,0,0,0,0,0,0,0,121.198,129.401,0,0,91.5841,93.0521,89.5416,7.572e+07,3.83924e+07,0,0,4.31074e+07,4.38775e+07,4.20611e+07,363595,194102,0,0,183168,186104,179083,702000,351000,0,0,468000,468000,468000,3000,1500,0,0,2000,2000,2000,237.733,141.001,0,0,1137.1,1343.2,1947.3,0.000123173,0.000182052,0,0,0.00335405,6.36555e-05,3.93158e-05,
243.00,215.187,225.378,301.947,244.555,286.067,286.767,288.958,0,0,0,0,0,0,0,122.242,132.324,0,0,91.5601,93.0133,89.5234,7.90139e+07,4.0168e+07,0,0,4.47556e+07,4.55519e+07,4.36726e+07,366726,198486,0,0,183120,186027,179047,729000,364500,0,0,486000,486000,486000,3000,1500,0,0,2000,2000,2000,236.942,140.24,0,0,1130.12,1343.35,1947.81,0.000126357,0.000186856,0,0,0.00443109,6.51303e-05,4.05554e-05,
