TIME,WBHP:A-1H,WBHP:A-2AH,WBHP:A-3H,WBHP:A-5H,WGIR:A-1H,WGIR:A-2AH,WGIR:A-3H,WGIR:A-5H,WGOR:A-1H,WGOR:A-2AH,WGOR:A-3H,WGOR:A-5H,WGPT:A-1H,WGPT:A-2AH,WGPT:A-3H,WGPT:A-5H,WGPR:A-1H,WGPR:A-2AH,WGPR:A-3H,WGPR:A-5H,WOPT:A-1H,WOPT:A-2AH,WOPT:A-3H,WOPT:A-5H,WOPR:A-1H,WOPR:A-2AH,WOPR:A-3H,WOPR:A-5H,WPI1:A-1H,WPI1:A-2AH,WPI1:A-3H,WPI1:A-5H,WWCT:A-1H,WWCT:A-2AH,WWCT:A-3H,WWCT:A-5H,
9315.00,0,0,0,0,0,0,0,0,0,0,0,0,4.11633e+08,1.71538e+08,1.50733e+08,1.85343e+08,0,0,0,0,4.2177e+06,1.69046e+06,1.73279e+06,1.70932e+06,0,0,0,0,0,0,0,0,0,0,0,0,
9528.00,0,0,0,0,0,0,0,0,0,0,0,0,4.11633e+08,1.71538e+08,1.50733e+08,1.85343e+08,0,0,0,0,4.2177e+06,1.69046e+06,1.73279e+06,1.70932e+06,0,0,0,0,0,0,0,0,0,0,0,0,
9679.00,0,0,0,0,0,0,0,0,0,0,0,0,4.11633e+08,1.71538e+08,1.50733e+08,1.85343e+08,0,0,0,0,4.2177e+06,1.69046e+06,1.73279e+06,1.70932e+06,0,0,0,0,0,0,0,0,0,0,0,0,
9893.00,0,0,0,0,0,0,0,0,0,0,0,0,4.11633e+08,1.71538e+08,1.50733e+08,1.85343e+08,0,0,0,0,4.2177e+06,1.69046e+06,1.73279e+06,1.70932e+06,0,0,0,0,0,0,0,0,0,0,0,0,
10258.00,0,0,0,0,0,0,0,0,0,0,0,0,4.11633e+08,1.71538e+08,1.50733e+08,1.85343e+08,0,0,0,0,4.2177e+06,1.69046e+06,1.73279e+06,1.70932e+06,0,0,0,0,0,0,0,0,0,0,0,0,
10623.00,0,0,0,0,0,0,0,0,0,0,0,0,4.11633e+08,1.71538e+08,1.50733e+08,1.85343e+08,0,0,0,0,4.2177e+06,1.69046e+06,1.73279e+06,1.70932e+06,0,0,0,0,0,0,0,0,0,0,0,0,
10989.00,0,0,0,0,0,0,0,0,0,0,0,0,4.11633e+08,1.71538e+08,1.50733e+08,1.85343e+08,0,0,0,0,4.2177e+06,1.69046e+06,1.73279e+06,1.70932e+06,0,0,0,0,0,0,0,0,0,0,0,0,
11354.00,0,0,0,0,0,0,0,0,0,0,0,0,4.11633e+08,1.71538e+08,1.50733e+08,1.85343e+08,0,0,0,0,4.2177e+06,1.69046e+06,1.73279e+06,1.70932e+06,0,0,0,0,0,0,0,0,0,0,0,0,
11719.00,0,0,0,0,0,0,0,0,0,0,0,0,4.11633e+08,1.71538e+08,1.50733e+08,1.85343e+08,0,0,0,0,4.2177e+06,1.69046e+06,1.73279e+06,1.70932e+06,0,0,0,0,0,0,0,0,0,0,0,0,
12084.00,0,0,0,0,0,0,0,0,0,0,0,0,4.11633e+08,1.71538e+08,1.50733e+08,1.85343e+08,0,0,0,0,4.2177e+06,1.69046e+06,1.73279e+06,1.70932e+06,0,0,0,0,0,0,0,0,0,0,0,0,
12450.00,0,0,0,0,0,0,0,0,0,0,0,0,4.11633e+08,1.71538e+08,1.50733e+08,1.85343e+08,0,0,0,0,4.2177e+06,1.69046e+06,1.73279e+06,1.70932e+06,0,0,0,0,0,0,0,0,0,0,0,0,
12815.00,0,0,0,0,0,0,0,0,0,0,0,0,4.11633e+08,1.71538e+08,1.50733e+08,1.85343e+08,0,0,0,0,4.2177e+06,1.69046e+06,1.73279e+06,1.70932e+06,0,0,0,0,0,0,0,0,0,0,0,0,
13180.00,0,0,0,0,0,0,0,0,0,0,0,0,4.11633e+08,1.71538e+08,1.50733e+08,1.85343e+08,0,0,0,0,4.2177e+06,1.69046e+06,1.73279e+06,1.70932e+06,0,0,0,0,0,0,0,0,0,0,0,0,
13545.00,0,0,0,0,0,0,0,0,0,0,0,0,4.11633e+08,1.71538e+08,1.50733e+08,1.85343e+08,0,0,0,0,4.2177e+06,1.69046e+06,1.73279e+06,1.70932e+06,0,0,0,0,0,0,0,0,0,0,0,0,
13911.00,0,0,0,0,0,0,0,0,0,0,0,0,4.11633e+08,1.71538e+08,1.50733e+08,1.85343e+08,0,0,0,0,4.2177e+06,1.69046e+06,1.73279e+06,1.70932e+06,0,0,0,0,0,0,0,0,0,0,0,0,
